"from","to","weight"
"ANDY","BROOKS","4.0"
"ANDY","ERNIE",NA
"ANDY","HADLEY","3.0"
"ANDY","ROOSTER",NA
"ANDY","TOMMY","2.0"
"ANDY","TOMNY",NA
"ANDY","TYRELL",NA
"ANDY","WILEY",NA
"BOGS","ANDY","2.0"
"BOGS","PROJECTIONIST","2.0"
"BOGS","RED","3.0"
"BOGS","ROOSTER",NA
"BROOKS","HEYWOOD","3.0"
"BROOKS","SNOOZE",NA
"BROOKS","TYRELL",NA
"DEKINS","ANDY",NA
"DEKINS","BROOKS",NA
"ERNIE","CON",NA
"ERNIE","GUARD",NA
"ERNIE","NORTON",NA
"ERNIE","SKEET",NA
"ERNIE","SNOOZE",NA
"FAT-ASS","HADLEY",NA
"FLOYD","ANDY","4.0"
"FLOYD","BROOKS",NA
"FLOYD","ERNIE","2.0"
"FLOYD","HEYWOOD","7.0"
"FLOYD","JIGGER","3.0"
"FLOYD","RED","6.0"
"FLOYD","TOMMY",NA
"FLOYD","TOWER GUARD",NA
"FLOYD","TYRELL",NA
"GUARD","ANDY",NA
"GUARD","CON",NA
"GUARD","HAIG",NA
"GUARD","HEYWOOD",NA
"GUARD","NORTON",NA
"HADLEY","BROOKS",NA
"HADLEY","CON",NA
"HADLEY","DEKINS",NA
"HADLEY","FLOYD",NA
"HADLEY","HEYWOOD","2.0"
"HADLEY","RED","4.0"
"HADLEY","SNOOZE",NA
"HADLEY","TROUT",NA
"HADLEY","WILEY",NA
"HAIG","HADLEY",NA
"HAIG","RED",NA
"HEYWOOD","ANDY","6.0"
"HEYWOOD","ERNIE","2.0"
"HEYWOOD","FAT-ASS",NA
"HEYWOOD","RED","9.0"
"HEYWOOD","TOMNY",NA
"HEYWOOD","TOWER GUARD",NA
"HEYWOOD","TYRELL",NA
"JIGGER","ANDY","2.0"
"JIGGER","BROOKS",NA
"JIGGER","ERNIE","2.0"
"JIGGER","HEYWOOD","3.0"
"JIGGER","RED","3.0"
"JIGGER","SNOOZE","3.0"
"JIGGER","TYRELL",NA
"MAN #1","MAN #2","2.0"
"MAN #1","MAN #3",NA
"MAN #1","RED","2.0"
"MAN #2","MAN #3",NA
"MAN #3","RED",NA
"MANAGER","ANDY",NA
"MANAGER","BROOKS",NA
"MERT","ANDY",NA
"MERT","FLOYD",NA
"MERT","HADLEY",NA
"MERT","HEYWOOD",NA
"MERT","NORTON",NA
"MERT","RED","2.0"
"MERT","SNOOZE",NA
"NED","NORTON",NA
"NORTON","ANDY","6.0"
"NORTON","CON","2.0"
"NORTON","HADLEY","4.0"
"NORTON","HAIG",NA
"NORTON","HEYWOOD",NA
"PROJECTIONIST","ANDY","2.0"
"PROJECTIONIST","RED","2.0"
"PROJECTIONIST","ROOSTER",NA
"RED","ANDY","16.0"
"RED","BROOKS","3.0"
"RED","CON",NA
"RED","ERNIE","2.0"
"RED","GUARD",NA
"RED","MAN #2","2.0"
"RED","MANAGER","2.0"
"RED","NED",NA
"RED","NORTON","5.0"
"RED","RORY",NA
"RED","TOMNY",NA
"RED","TYRELL",NA
"ROOSTER","RED",NA
"RORY","HADLEY",NA
"RORY","NORTON",NA
"SKEET","FLOYD","2.0"
"SKEET","HEYWOOD","2.0"
"SKEET","JIGGER",NA
"SKEET","RED","2.0"
"SKEET","SNOOZE","2.0"
"SNOOZE","ANDY","3.0"
"SNOOZE","FLOYD","2.0"
"SNOOZE","HEYWOOD","5.0"
"SNOOZE","RED","4.0"
"SNOOZE","TOMNY",NA
"TOMMY","HEYWOOD",NA
"TOMMY","MERT",NA
"TOMMY","NORTON",NA
"TOMMY","RED","2.0"
"TOMMY","SNOOZE",NA
"TOMMY","TOMNY","2.0"
"TOWER GUARD","HADLEY",NA
"TOWER GUARD","RED",NA
"TOWER GUARD","SKEET",NA
"TROUT","ANDY",NA
"TROUT","FLOYD",NA
"TROUT","HEYWOOD",NA
"TROUT","MERT",NA
"TROUT","RED",NA
"TROUT","SNOOZE",NA
"WOMAN","BROOKS","2.0"
"WOMAN","MANAGER",NA
"WOMAN REPORTER","HEYWOOD",NA
"YOUNGBLOOD","ANDY",NA
"YOUNGBLOOD","FLOYD",NA
"YOUNGBLOOD","HADLEY",NA
"YOUNGBLOOD","HEYWOOD",NA
"YOUNGBLOOD","MERT",NA
"YOUNGBLOOD","RED",NA
"YOUNGBLOOD","SNOOZE",NA
"YOUNGBLOOD","TROUT",NA
