"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANDY","730","2.0","1.3529411764705883","82.01093073593076","22","0","3"
2,"BOGS","730","3.0","1.9705882352941178","0.0","4","0","3"
3,"BROOKS","730","2.0","1.6764705882352942","31.32678571428571","11","0","3"
4,"CON","730","3.0","1.911764705882353","0.30952380952380953","5","0","2"
5,"DEKINS","730","3.0","2.088235294117647","0.0","3","0","3"
6,"ERNIE","730","3.0","1.7352941176470589","4.539123376623377","10","0","2"
7,"FAT-ASS","730","3.0","2.2058823529411766","0.0","2","0","2"
8,"FLOYD","730","2.0","1.5588235294117647","10.564556277056278","15","0","1"
9,"GUARD","730","3.0","1.8235294117647058","1.9333333333333336","7","0","2"
10,"HADLEY","730","2.0","1.5","54.061093073593064","17","0","2"
11,"HAIG","730","3.0","1.9411764705882353","0.16666666666666666","4","0","2"
12,"HEYWOOD","730","2.0","1.411764705882353","70.01693722943726","20","0","1"
13,"JIGGER","730","2.0","1.7352941176470589","1.6575757575757575","9","0","1"
14,"MAN #1","730","3.0","2.0588235294117645","0.0","3","0","0"
15,"MAN #2","730","3.0","2.0588235294117645","0.0","3","0","0"
16,"MAN #3","730","3.0","2.0588235294117645","0.0","3","0","0"
17,"MANAGER","730","3.0","1.9411764705882353","8.552380952380954","4","0","3"
18,"MERT","730","3.0","1.7352941176470589","1.161904761904762","10","0","1"
19,"NED","730","3.0","2.088235294117647","0.0","2","0","0"
20,"NORTON","730","3.0","1.6764705882352942","15.285714285714285","12","0","2"
21,"PROJECTIONIST","730","3.0","1.9705882352941178","0.0","4","0","3"
22,"RED","730","2.0","1.1470588235294117","221.0931277056277","29","0","0"
23,"ROOSTER","730","3.0","1.9705882352941178","0.0","4","0","3"
24,"RORY","730","3.0","1.9705882352941178","0.0","3","0","2"
25,"SKEET","730","3.0","1.8823529411764706","0.7","7","0","1"
26,"SNOOZE","730","2.0","1.588235294117647","8.331222943722945","14","0","1"
27,"TOMMY","730","3.0","1.7941176470588236","0.9357142857142857","8","0","1"
28,"TOMNY","730","3.0","1.8823529411764706","0.0","5","0","1"
29,"TOWER GUARD","730","3.0","1.8823529411764706","0.35340909090909095","5","0","1"
30,"TROUT","730","3.0","1.7941176470588236","0.0","8","0","1"
31,"TYRELL","730","2.0","1.8235294117647058","0.0","6","0","1"
32,"WILEY","730","3.0","2.1470588235294117","0.0","2","0","2"
33,"WOMAN","730","3.0","2.6176470588235294","0.0","2","0","3"
34,"WOMAN REPORTER","730","3.0","2.3823529411764706","0.0","1","0","1"
35,"YOUNGBLOOD","730","3.0","1.7941176470588236","0.0","8","0","1"
