"from","to","weight"
"DANNY","JACK","2.0"
"DOCTOR","DANNY",NA
"DOROTHY","DANNY",NA
"DOROTHY","HERMIE",NA
"DOROTHY","WENDY",NA
"DURKIN","HALLORAN",NA
"GIRLS","JACK",NA
"GRADY GIRLS","DANNY",NA
"GRADY GIRLS","TONY",NA
"HALLORAN","DANNY","4.0"
"HALLORAN","JACK","2.0"
"HALLORAN","STEWARDESS",NA
"HALLORAN","ULLMAN","2.0"
"HALLORAN","WENDY","3.0"
"HERMIE","DANNY",NA
"HERMIE","WENDY",NA
"JACK","GRADY","4.0"
"JACK","LLOYD","2.0"
"JACK","RECEPTIONIST",NA
"JACK","SECRETARY",NA
"LLOYD","GRADY",NA
"LLOYD","WENDY",NA
"MAITRE D","GRADY",NA
"MAITRE D","JACK",NA
"MAITRE D","LLOYD",NA
"RANGER","HALLORAN","3.0"
"RANGER","WENDY","2.0"
"RECEPTIONIST","SECRETARY",NA
"RECEPTIONIST","ULLMAN",NA
"SUSIE","DANNY",NA
"SUSIE","HALLORAN",NA
"SUSIE","JACK",NA
"SUSIE","ULLMAN",NA
"SUSIE","WENDY",NA
"TONY","DANNY","5.0"
"TONY","WENDY","3.0"
"ULLMAN","DANNY",NA
"ULLMAN","GIRLS","2.0"
"ULLMAN","JACK","6.0"
"ULLMAN","SECRETARY",NA
"ULLMAN","WATSON","2.0"
"WATSON","GIRLS",NA
"WATSON","JACK","2.0"
"WENDY","DANNY","9.0"
"WENDY","DOCTOR",NA
"WENDY","GIRLS",NA
"WENDY","JACK","10.0"
"WENDY","ULLMAN","6.0"
