"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"DANNY","733","2.0","1.5","39.349999999999994","10","0","1"
2,"DOCTOR","733","3.0","2.25","0.0","2","0","1"
3,"DOROTHY","733","3.0","2.2","0.0","3","0","1"
4,"DURKIN","733","3.0","2.55","0.0","1","0","0"
5,"GIRLS","733","3.0","1.95","1.3333333333333333","4","0","2"
6,"GRADY","733","3.0","2.25","0.0","3","0","2"
7,"GRADY GIRLS","733","3.0","2.4","0.0","2","0","1"
8,"HALLORAN","733","2.0","1.6","41.400000000000006","8","0","0"
9,"HERMIE","733","3.0","2.2","0.0","3","0","1"
10,"JACK","733","2.0","1.4","57.74999999999999","12","0","2"
11,"LLOYD","733","3.0","1.95","4.333333333333334","4","0","2"
12,"MAITRE D","733","3.0","2.25","0.0","3","0","2"
13,"RANGER","733","3.0","2.2","0.0","2","0","0"
14,"RECEPTIONIST","733","3.0","2.25","0.0","3","0","2"
15,"SECRETARY","733","3.0","2.25","0.0","3","0","2"
16,"STEWARDESS","733","3.0","2.55","0.0","1","0","0"
17,"SUSIE","733","2.0","1.75","0.0","5","0","0"
18,"TONY","733","3.0","2.2","1.4166666666666665","3","0","1"
19,"ULLMAN","733","2.0","1.55","21.25","9","0","2"
20,"WATSON","733","3.0","2.25","0.0","3","0","2"
21,"WENDY","733","2.0","1.4","52.16666666666667","12","0","1"
