"from","to","weight"
"ARDELIA","CLARICE","4.0"
"ARDELIA","PILCHER",NA
"ARDELIA","RODEN",NA
"BOYLE","CHILTON",NA
"BOYLE","KRENDLER",NA
"BOYLE","SEN MARTIN",NA
"BRIGHAM","ARDELIA",NA
"BRIGHAM","CLARICE","2.0"
"CATHERINE","CODY",NA
"CHILTON","BARNEY",NA
"CHILTON","CLARICE","4.0"
"CHILTON","KRENDLER",NA
"CHILTON","SEN MARTIN",NA
"CLARICE","BARNEY",NA
"CLARICE","BURKE",NA
"CLARICE","CATHERINE",NA
"CLARICE","CRAWFORD","10.0"
"CLARICE","DIRECTOR BURKE",NA
"CLARICE","KRENDLER","2.0"
"CLARICE","LAMAR","2.0"
"CLARICE","PILCHER","2.0"
"CLARICE","RODEN","3.0"
"CLARICE","THE ""HOSTAGE""",NA
"CLARICE","THE LITTLE GIRL",NA
"CRAWFORD","BOYLE",NA
"CRAWFORD","BURKE",NA
"CRAWFORD","CHILTON","3.0"
"CRAWFORD","DIRECTOR BURKE",NA
"CRAWFORD","DR LECTER",NA
"CRAWFORD","PEMBRY",NA
"CRAWFORD","SEN MARTIN",NA
"CRAWFORD","SHERIFF",NA
"DR DANIELSON","CRAWFORD",NA
"DR LECTER","ARDELIA",NA
"DR LECTER","BOYLE",NA
"DR LECTER","CATHERINE",NA
"DR LECTER","CHILTON","2.0"
"DR LECTER","CLARICE","5.0"
"DR LECTER","KRENDLER",NA
"DR LECTER","SEN MARTIN",NA
"DR LECTER","THE LITTLE GIRL",NA
"FOREMAN","MR GUMB",NA
"INSTRUCTOR","BRIGHAM",NA
"JACOBS","MURRAY",NA
"KRENDLER","BURKE",NA
"KRENDLER","CRAWFORD",NA
"LAMAR","CRAWFORD",NA
"MAN","CATHERINE",NA
"MR BIMMEL","CLARICE",NA
"MR GUMB","CATHERINE","2.0"
"MR GUMB","CLARICE","3.0"
"MR YOW","CLARICE","2.0"
"MURRAY","CLARICE",NA
"PEMBRY","BOYLE",NA
"PEMBRY","CHILTON","2.0"
"PEMBRY","CLARICE",NA
"PEMBRY","DR LECTER","3.0"
"PEMBRY","KRENDLER",NA
"PEMBRY","SEN MARTIN",NA
"PEMBRY","THE LITTLE GIRL",NA
"PETERSON","SGT TATE",NA
"RODEN","PILCHER","4.0"
"SEN MARTIN","ARDELIA",NA
"SEN MARTIN","CLARICE",NA
"SEN MARTIN","KRENDLER","2.0"
"SGT TATE","CLARICE",NA
"SGT TATE","JACOBS",NA
"SGT TATE","MURRAY","2.0"
"SHERIFF","CLARICE",NA
"STACY","CLARICE",NA
"SWAT COMMANDER","PETERSON",NA
"SWAT COMMANDER","SGT TATE",NA
"THE ""HOSTAGE""","ARDELIA",NA
"THE ""HOSTAGE""","BRIGHAM",NA
"THE LITTLE GIRL","CHILTON",NA
"TV ANCHOR","ARDELIA",NA
"TV ANCHOR","CLARICE",NA
"TV ANCHOR","SEN MARTIN",NA
