"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ARDELIA","740","3.0","1.9705882352941178","12.083333333333332","8","0","2"
2,"BARNEY","740","3.0","2.176470588235294","0.0","2","0","2"
3,"BOYLE","740","4.0","2.4705882352941178","0.0","6","0","0"
4,"BRIGHAM","740","3.0","2.1176470588235294","33.0","4","0","2"
5,"BURKE","740","3.0","2.1176470588235294","0.0","3","0","0"
6,"CATHERINE","740","3.0","2.0","66.28571428571428","5","0","1"
7,"CHILTON","740","3.0","1.9411764705882353","8.244047619047615","9","0","0"
8,"CLARICE","740","2.0","1.2647058823529411","421.29761904761904","25","0","2"
9,"CODY","740","4.0","2.9705882352941178","0.0","1","0","1"
10,"CRAWFORD","740","3.0","1.8529411764705883","50.744047619047635","12","0","0"
11,"DIRECTOR BURKE","740","3.0","2.1470588235294117","0.0","2","0","2"
12,"DR DANIELSON","740","4.0","2.823529411764706","0.0","1","0","0"
13,"DR LECTER","740","3.0","1.8529411764705883","22.321428571428562","10","0","0"
14,"FOREMAN","740","4.0","3.0588235294117645","0.0","1","0","1"
15,"INSTRUCTOR","740","4.0","3.088235294117647","0.0","1","0","2"
16,"JACOBS","740","4.0","2.9705882352941178","0.0","2","0","3"
17,"KRENDLER","740","3.0","1.9705882352941178","4.244047619047619","8","0","0"
18,"LAMAR","740","3.0","2.1470588235294117","0.0","2","0","2"
19,"MAN","740","4.0","2.9705882352941178","0.0","1","0","1"
20,"MR BIMMEL","740","3.0","2.235294117647059","0.0","1","0","2"
21,"MR GUMB","740","3.0","2.088235294117647","33.0","3","0","1"
22,"MR YOW","740","3.0","2.235294117647059","0.0","1","0","2"
23,"MURRAY","740","3.0","2.088235294117647","15.0","3","0","3"
24,"PEMBRY","740","3.0","1.9705882352941178","3.74404761904762","8","0","0"
25,"PETERSON","740","4.0","2.9705882352941178","0.0","2","0","3"
26,"PILCHER","740","3.0","2.176470588235294","0.0","3","0","2"
27,"RODEN","740","3.0","2.176470588235294","0.0","3","0","2"
28,"SEN MARTIN","740","3.0","1.9411764705882353","9.035714285714285","9","0","0"
29,"SGT TATE","740","3.0","2.0294117647058822","79.0","5","0","3"
30,"SHERIFF","740","3.0","2.1470588235294117","0.0","2","0","2"
31,"STACY","740","3.0","2.235294117647059","0.0","1","0","2"
32,"SWAT COMMANDER","740","4.0","2.9705882352941178","0.0","2","0","3"
33,"THE ""HOSTAGE""","740","3.0","2.1470588235294117","0.0","3","0","2"
34,"THE LITTLE GIRL","740","3.0","2.1176470588235294","0.0","4","0","0"
35,"TV ANCHOR","740","3.0","2.1470588235294117","0.0","3","0","2"
