"from","to","weight"
"BAER","BLUE 06/01/94",NA
"BAER","BODI",NA
"BAER","KOVASH","2.0"
"BAER","KUJAN",NA
"BAER","METZHEISER",NA
"BAER","PLUMBER","2.0"
"BAER","RAB IN",NA
"BAER","RABIN","2.0"
"BAER","RABIN +",NA
"BAER","TRACY",NA
"BAER","YELLOW 06/11/94","3.0"
"BLUE 06/01/94","BODI",NA
"BLUE 06/01/94","EDIE",NA
"BLUE 06/01/94","EVERYTHING",NA
"BLUE 06/01/94","FENSTER","2.0"
"BLUE 06/01/94","HOCKNEY","2.0"
"BLUE 06/01/94","KOBAYASHI",NA
"BLUE 06/01/94","KOVASH",NA
"BLUE 06/01/94","MAN IN ROBE",NA
"BLUE 06/01/94","MCMANUS",NA
"BLUE 06/01/94","NO",NA
"BLUE 06/01/94","PINK 06/07/94",NA
"BODI","METZHEISER",NA
"BODI","PINK 06/07/94",NA
"BODI","PLUMBER",NA
"BODI","TRACY",NA
"BODI","YELLOW 06/11/94",NA
"COP","BAER",NA
"COP","YELLOW 06/11/94",NA
"EDIE","KEATON","4.0"
"EDIE","RENAULT",NA
"EDIE","VERBAL",NA
"EDIE","YELLOW 06/11/94","2.0"
"EVERYTHING","YELLOW 06/11/94",NA
"FENSTER","MCMANUS",NA
"FORTIER","BLUE 06/01/94",NA
"FORTIER","EDIE",NA
"FORTIER","KEATON","2.0"
"FORTIER","KUJAN",NA
"FORTIER","RENAULT","2.0"
"FORTIER","YELLOW 06/11/94",NA
"HOCKNEY","FENSTER","3.0"
"HOCKNEY","MAN",NA
"HOCKNEY","MCMANUS",NA
"HOCKNEY","YELLOW 06/11/94","5.0"
"KEATON","BLUE 06/01/94","5.0"
"KEATON","EVERYTHING",NA
"KEATON","FENSTER","4.0"
"KEATON","HOCKNEY","4.0"
"KEATON","KOBAYASHI","2.0"
"KEATON","MCMANUS","2.0"
"KEATON","REDFOOT",NA
"KEATON","RENAULT",NA
"KOBAYASHI","FENSTER",NA
"KOBAYASHI","HOCKNEY",NA
"KOBAYASHI","MCMANUS",NA
"KOBAYASHI","VERBAL",NA
"KOBAYASHI","YELLOW 06/11/94",NA
"KOVASH","BODI",NA
"KOVASH","PINK 06/07/94",NA
"KUJAN","BLUE 06/01/94","6.0"
"KUJAN","COP",NA
"KUJAN","EVERYTHING",NA
"KUJAN","KEATON",NA
"KUJAN","NO",NA
"KUJAN","RABIN +",NA
"MCMANUS","REDFOOT",NA
"MCMANUS","YELLOW 06/11/94",NA
"METZHEISER","KOVASH",NA
"NO","YELLOW 06/11/94",NA
"PINK 06/07/94","BAER","2.0"
"PINK 06/07/94","KUJAN","7.0"
"PINK 06/07/94","RABIN","3.0"
"PINK 06/07/94","RABIN +",NA
"PINK 06/07/94","VERBAL","3.0"
"PLUMBER","BLUE 06/01/94",NA
"PLUMBER","KOVASH","2.0"
"PLUMBER","METZHEISER",NA
"PLUMBER","RIDGLY",NA
"PLUMBER","TRACY",NA
"RAB IN","BLUE 06/01/94","2.0"
"RAB IN","KUJAN","5.0"
"RAB IN","PINK 06/07/94","4.0"
"RAB IN","RABIN +",NA
"RABIN","KUJAN","2.0"
"RABIN","RAB IN","2.0"
"RABIN","RABIN +",NA
"RABIN","YELLOW 06/11/94","2.0"
"RABIN +","YELLOW 06/11/94",NA
"REDFOOT","FENSTER",NA
"REDFOOT","HOCKNEY",NA
"REDFOOT","VERBAL",NA
"RENAULT","BLUE 06/01/94",NA
"RENAULT","KUJAN",NA
"RENAULT","YELLOW 06/11/94",NA
"RIDGLY","BAER",NA
"RIDGLY","YELLOW 06/11/94",NA
"RIZZI","LOOK OUT",NA
"RIZZI","OSCAR",NA
"STRAUSZ","HOCKNEY",NA
"STRAUSZ","LOOK OUT",NA
"STRAUSZ","RIZZI",NA
"TRACY","KOVASH",NA
"TRACY","METZHEISER",NA
"VERBAL","BLUE 06/01/94","7.0"
"VERBAL","EVERYTHING",NA
"VERBAL","FENSTER","3.0"
"VERBAL","HOCKNEY","7.0"
"VERBAL","KEATON","8.0"
"VERBAL","KUJAN","11.0"
"VERBAL","MCMANUS",NA
"VERBAL","NO",NA
"VERBAL","RAB IN","2.0"
"VERBAL","YELLOW 06/11/94","14.0"
"VOICE #1","VOICE #2",NA
"VOICE #1","YELLOW 06/11/94",NA
"VOICE #2","YELLOW 06/11/94",NA
"YELLOW 06/11/94","BLUE 06/01/94","6.0"
"YELLOW 06/11/94","FENSTER","4.0"
"YELLOW 06/11/94","KEATON","14.0"
"YELLOW 06/11/94","KOVASH",NA
"YELLOW 06/11/94","KUJAN","9.0"
"YELLOW 06/11/94","MAN",NA
"YELLOW 06/11/94","METZHEISER",NA
"YELLOW 06/11/94","PINK 06/07/94","3.0"
"YELLOW 06/11/94","PLUMBER","2.0"
"YELLOW 06/11/94","RAB IN","2.0"
"YELLOW 06/11/94","REDFOOT",NA
"YELLOW 06/11/94","STRAUSZ",NA
"YELLOW 06/11/94","TRACY",NA
