"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"BAER","859","4.0","1.7058823529411764","19.799999999999997","14","0","4"
2,"BLUE 06/01/94","859","4.0","1.5294117647058822","71.38333333333335","20","0","2"
3,"BODI","859","4.0","1.8823529411764706","1.5000000000000002","8","0","4"
4,"COP","859","4.0","2.0588235294117645","0.0","3","0","4"
5,"EDIE","859","4.0","1.9411764705882353","0.4","6","0","2"
6,"EVERYTHING","859","4.0","1.9705882352941178","0.0","5","0","2"
7,"FENSTER","859","4.0","1.8823529411764706","0.5","8","0","1"
8,"FORTIER","859","4.0","1.9411764705882353","0.16666666666666666","6","0","2"
9,"HOCKNEY","859","3.0","1.7352941176470589","22.5","10","0","1"
10,"KEATON","859","4.0","1.7352941176470589","9.48333333333333","13","0","1"
11,"KOBAYASHI","859","4.0","1.911764705882353","0.0","7","0","1"
12,"KOVASH","859","4.0","1.8823529411764706","1.5000000000000002","8","0","4"
13,"KUJAN","859","4.0","1.7058823529411764","18.06666666666667","14","0","2"
14,"LOOK OUT","859","4.0","2.823529411764706","0.0","2","0","3"
15,"MAN","859","4.0","2.088235294117647","0.0","2","0","4"
16,"MAN IN ROBE","859","5.0","2.5","0.0","1","0","2"
17,"MCMANUS","859","4.0","1.8823529411764706","0.5","8","0","1"
18,"METZHEISER","859","4.0","1.9705882352941178","0.0","6","0","4"
19,"NO","859","4.0","2.0","0.0","4","0","2"
20,"OSCAR","859","5.0","3.764705882352941","0.0","1","0","3"
21,"PINK 06/07/94","859","4.0","1.8235294117647058","4.5","10","0","0"
22,"PLUMBER","859","4.0","1.8823529411764706","2.8000000000000003","8","0","4"
23,"RAB IN","859","4.0","1.8823529411764706","1.5","8","0","0"
24,"RABIN","859","4.0","1.9705882352941178","0.0","6","0","0"
25,"RABIN +","859","4.0","1.9705882352941178","0.0","6","0","0"
26,"REDFOOT","859","4.0","1.9705882352941178","0.0","6","0","1"
27,"RENAULT","859","4.0","1.9411764705882353","0.16666666666666666","6","0","2"
28,"RIDGLY","859","4.0","2.0588235294117645","0.0","3","0","4"
29,"RIZZI","859","4.0","2.7941176470588234","33.0","3","0","3"
30,"STRAUSZ","859","3.0","1.911764705882353","93.0","4","0","3"
31,"TRACY","859","4.0","1.9705882352941178","0.0","6","0","4"
32,"VERBAL","859","4.0","1.7058823529411764","13.416666666666668","14","0","1"
33,"VOICE #1","859","4.0","2.088235294117647","0.0","2","0","4"
34,"VOICE #2","859","4.0","2.088235294117647","0.0","2","0","4"
35,"YELLOW 06/11/94","859","3.0","1.1470588235294117","302.81666666666666","30","0","4"
