"from","to","weight"
"ANATOLY","LOVETT",NA
"ANDREWS","IDA",NA
"ANDREWS","JACK",NA
"ANDREWS","LIGHTOLLER",NA
"ANDREWS","LOVEJOY",NA
"ANDREWS","MURDOCH","2.0"
"ANDREWS","SEAMAN",NA
"ANDREWS","SMITH",NA
"BARRETT","LEE",NA
"BARRETT","MOLLY",NA
"BELL","BARRETT",NA
"BELL","LEE",NA
"BELL","MOLLY",NA
"BODINE","ANATOLY",NA
"BODINE","BUELL",NA
"BODINE","CAMERAMAN",NA
"BODINE","LIZZY","2.0"
"BODINE","OLD ROSE","2.0"
"BODINE","ROSE","4.0"
"BRIDE","FIRST OFFICER MURDOCH",NA
"BRIDE","LIGHTOLLER",NA
"BROCK","BODINE",NA
"BROCK","LIZZY",NA
"BROCK","LOVETT",NA
"BUELL","ANNOUNCER",NA
"BUELL","BROCK",NA
"BUELL","LIZZY",NA
"BUELL","LOVETT","3.0"
"BUELL","ROSE",NA
"CAL","ANDREWS","3.0"
"CAL","COLONEL GRACIE","2.0"
"CAL","DANIEL",NA
"CAL","FABRIZIO",NA
"CAL","GRACIE","3.0"
"CAL","GUGGENHEIM","2.0"
"CAL","HARTLEY",NA
"CAL","IDA",NA
"CAL","IMMIGRATION OFFICER",NA
"CAL","ISMAY",NA
"CAL","MADELEINE",NA
"CAL","MASTER AT ARMS","2.0"
"CAL","MOLLY","4.0"
"CAL","OLD ROSE","3.0"
"CAL","PORTER",NA
"CAL","ROSE","8.0"
"CAL","STEWARD",NA
"CAL","STEWARD BARNES","2.0"
"CAL","TRANSITION",NA
"CAL","TRUDY",NA
"CAL","WAITER",NA
"CNN REPORTER","REPORTER",NA
"CNN REPORTER","ROSE",NA
"COLONEL GRACIE","ANDREWS",NA
"COLONEL GRACIE","GRACIE",NA
"COLONEL GRACIE","ISMAY",NA
"COLONEL GRACIE","LOVEJOY",NA
"COLONEL GRACIE","ROSE",NA
"CREWMAN","LOVEJOY",NA
"DANIEL","MAN",NA
"DANIEL","OLD ROSE",NA
"FABRIZIO","HELGA",NA
"FABRIZIO","ISMAY",NA
"FABRIZIO","JACK","4.0"
"FABRIZIO","PUBKEEPER",NA
"FABRIZIO","ROSE","2.0"
"FABRIZIO","STEWARD #2",NA
"FATHER BYLES","MOTHER",NA
"FIRST OFFICER MURDOCH","FABRIZIO",NA
"FIRST OFFICER MURDOCH","ISMAY",NA
"FLEET","BARRETT",NA
"FLEET","BELL",NA
"FLEET","LEE","3.0"
"FLEET","MOLLY",NA
"FLEET","MOODY",NA
"FLEET","MURDOCH",NA
"GENTLEMAN","HUTCHINSON",NA
"GENTLEMAN","JACK",NA
"GENTLEMAN","ROSE",NA
"GENTLEMAN","SMITH",NA
"GRACIE","ANDREWS",NA
"GRACIE","ISMAY",NA
"GRACIE","LOVEJOY",NA
"GRACIE","MADELEINE",NA
"GRACIE","MASTER AT ARMS",NA
"GRACIE","TOMMY",NA
"GUGGENHEIM","ANDREWS",NA
"GUGGENHEIM","COLONEL GRACIE",NA
"GUGGENHEIM","GRACIE",NA
"GUGGENHEIM","ISMAY",NA
"GUGGENHEIM","MOLLY",NA
"GUGGENHEIM","ROSE",NA
"GUGGENHEIM","WAITER",NA
"HARTLEY","RUTH",NA
"HARTLEY","WOMAN IN CROWD",NA
"HELGA","JACK",NA
"HELGA","ROSE",NA
"HITCHINS","MOLLY","3.0"
"HITCHINS","SIR COSMO",NA
"HUSBAND","CAL",NA
"HUSBAND","JACK",NA
"HUSBAND","MAN",NA
"HUSBAND","ROSE",NA
"HUTCHINSON","ISMAY",NA
"HUTCHINSON","JACK",NA
"HUTCHINSON","ROSE",NA
"ISMAY","ANDREWS","3.0"
"ISMAY","LOWE",NA
"ISMAY","MURDOCH",NA
"ISMAY","SMITH","2.0"
"JACK","CAL","4.0"
"JACK","COLONEL GRACIE","2.0"
"JACK","FATHER BYLES",NA
"JACK","FLEET","2.0"
"JACK","GRACIE","2.0"
"JACK","GUGGENHEIM",NA
"JACK","ISMAY",NA
"JACK","JOUGHIN",NA
"JACK","LEE",NA
"JACK","LOVEJOY","3.0"
"JACK","MADELEINE",NA
"JACK","MAN","2.0"
"JACK","MARVIN",NA
"JACK","MOODY",NA
"JACK","MOTHER",NA
"JACK","OLD ROSE","2.0"
"JACK","PUBKEEPER",NA
"JACK","ROWE","2.0"
"JACK","SIR COSMO",NA
"JACK","STEWARD","2.0"
"JACK","STEWARD #2",NA
"JACK","STEWARD BARNES",NA
"JACK","TOMMY","2.0"
"JACK","WAITER",NA
"JACK","WOMAN",NA
"JOUGHIN","ROSE",NA
"LIGHTOLLER","CAL","4.0"
"LIGHTOLLER","FIRST OFFICER MURDOCH",NA
"LIGHTOLLER","HARTLEY",NA
"LIGHTOLLER","HUSBAND",NA
"LIGHTOLLER","IDA",NA
"LIGHTOLLER","JACK",NA
"LIGHTOLLER","LOVEJOY",NA
"LIGHTOLLER","LOWE",NA
"LIGHTOLLER","MAN",NA
"LIGHTOLLER","MARVIN",NA
"LIGHTOLLER","MOLLY",NA
"LIGHTOLLER","ROSE","2.0"
"LIGHTOLLER","RUTH","2.0"
"LIGHTOLLER","SMITH",NA
"LIGHTOLLER","WOMAN IN CROWD",NA
"LITTLE BOY","WOMAN",NA
"LIZZY","LOVETT","4.0"
"LIZZY","ROSE","4.0"
"LOVEJOY","CAL","7.0"
"LOVEJOY","DANIEL",NA
"LOVEJOY","IDA",NA
"LOVEJOY","MAN",NA
"LOVEJOY","OLD ROSE",NA
"LOVEJOY","ROSE","3.0"
"LOVEJOY","RUTH",NA
"LOVETT","ANNOUNCER",NA
"LOVETT","BODINE","4.0"
"LOVETT","CAMERAMAN",NA
"LOVETT","CNN REPORTER",NA
"LOVETT","REPORTER",NA
"MAN","CAL",NA
"MAN","OLD ROSE",NA
"MAN","ROSE","3.0"
"MARVIN","CAL",NA
"MARVIN","MOLLY",NA
"MARVIN","ROSE",NA
"MARVIN","RUTH",NA
"MASTER AT ARMS","COLONEL GRACIE",NA
"MASTER AT ARMS","JACK","2.0"
"MASTER AT ARMS","LOVEJOY","2.0"
"MASTER AT ARMS","RUTH",NA
"MASTER AT ARMS","STEWARD BARNES",NA
"MOLLY","ANDREWS","2.0"
"MOLLY","COLONEL GRACIE",NA
"MOLLY","GRACIE","2.0"
"MOLLY","ISMAY","2.0"
"MOLLY","JACK","2.0"
"MOLLY","LEE",NA
"MOLLY","MADELEINE",NA
"MOLLY","SIR COSMO","2.0"
"MOODY","BARRETT",NA
"MOODY","BELL",NA
"MOODY","LEE",NA
"MOODY","MOLLY",NA
"MOODY","MURDOCH",NA
"MOODY","ROWE",NA
"MURDOCH","BARRETT",NA
"MURDOCH","BELL",NA
"MURDOCH","CAL",NA
"MURDOCH","LEE",NA
"MURDOCH","LOVEJOY",NA
"MURDOCH","MOLLY",NA
"OLAF","FABRIZIO",NA
"OLAF","JACK",NA
"OLAF","PUBKEEPER",NA
"OLAF","SVEN",NA
"OLD ROSE","IMMIGRATION OFFICER",NA
"OLD ROSE","LIZZY",NA
"OLD ROSE","LOVETT",NA
"OLD ROSE","MOLLY",NA
"OLD ROSE","ROSE","5.0"
"OLD ROSE","TRANSITION",NA
"OPERATOR","ROSE",NA
"PHILLIPS","BRIDE",NA
"PHILLIPS","SMITH",NA
"PORTER","DANIEL",NA
"PORTER","LOVEJOY",NA
"PORTER","MAN",NA
"PORTER","OLD ROSE",NA
"ROSE","ANDREWS","4.0"
"ROSE","BROCK",NA
"ROSE","DANIEL",NA
"ROSE","FLEET","2.0"
"ROSE","GRACIE","4.0"
"ROSE","IMMIGRATION OFFICER",NA
"ROSE","ISMAY",NA
"ROSE","JACK","19.0"
"ROSE","LEE",NA
"ROSE","LOVETT","5.0"
"ROSE","LOWE",NA
"ROSE","MADELEINE",NA
"ROSE","MASTER AT ARMS","2.0"
"ROSE","MOLLY","5.0"
"ROSE","PORTER",NA
"ROSE","REPORTER",NA
"ROSE","ROWE",NA
"ROSE","SIR COSMO",NA
"ROSE","STEWARD","2.0"
"ROSE","STEWARD BARNES",NA
"ROSE","TOMMY","2.0"
"ROSE","TRANSITION",NA
"ROSE","TRUDY",NA
"ROSE","WOMAN",NA
"RUTH","ANDREWS","3.0"
"RUTH","CAL","5.0"
"RUTH","COLONEL GRACIE",NA
"RUTH","DANIEL",NA
