"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ANATOLY","828","4.0","3.101449275362319","0.0","2","0","0"
2,"ANDREWS","828","3.0","1.7971014492753623","89.52372983614403","17","0","1"
3,"ANNOUNCER","828","4.0","3.101449275362319","0.0","2","0","0"
4,"BARRETT","828","4.0","2.5942028985507246","0.0","6","0","4"
5,"BELL","828","4.0","2.5942028985507246","0.0","6","0","4"
6,"BODINE","828","3.0","2.1739130434782608","64.0","8","0","0"
7,"BRIDE","828","4.0","2.6231884057971016","3.552380952380952","4","0","2"
8,"BROCK","828","3.0","2.217391304347826","0.0","5","0","0"
9,"BUELL","828","3.0","2.2028985507246377","27.448901098901107","6","0","0"
10,"CAL","828","3.0","1.5797101449275361","209.89450298994313","33","0","5"
11,"CAMERAMAN","828","4.0","3.101449275362319","0.0","2","0","0"
12,"CNN REPORTER","828","3.0","2.246376811594203","0.0","3","0","0"
13,"COLONEL GRACIE","828","3.0","1.9130434782608696","2.353145873734109","12","0","1"
14,"CREWMAN","828","4.0","2.782608695652174","0.0","1","0","5"
15,"DANIEL","828","3.0","2.1594202898550723","0.0","7","0","5"
16,"FABRIZIO","828","3.0","1.9275362318840579","62.46692486481826","12","0","3"
17,"FATHER BYLES","828","4.0","2.449275362318841","0.0","2","0","3"
18,"FIRST OFFICER MURDOCH","828","4.0","2.463768115942029","2.8494810744810746","5","0","2"
19,"FLEET","828","3.0","2.0579710144927534","21.494148306562487","8","0","4"
20,"GENTLEMAN","828","3.0","2.101449275362319","0.0","4","0","2"
21,"GRACIE","828","3.0","1.8695652173913044","8.898512495416519","15","0","1"
22,"GUGGENHEIM","828","3.0","1.9565217391304348","0.0","10","0","1"
23,"HARTLEY","828","4.0","2.449275362318841","0.0","4","0","5"
24,"HELGA","828","3.0","2.1739130434782608","0.0","3","0","3"
25,"HITCHINS","828","4.0","2.608695652173913","0.5526315789473685","3","0","4"
26,"HUSBAND","828","3.0","2.072463768115942","0.0","5","0","5"
27,"HUTCHINSON","828","3.0","2.0869565217391304","0.25","5","0","2"
28,"IDA","828","4.0","2.3768115942028984","0.0","5","0","5"
29,"IMMIGRATION OFFICER","828","3.0","2.2318840579710146","0.0","3","0","5"
30,"ISMAY","828","3.0","1.8405797101449275","38.124055042637636","16","0","1"
31,"JACK","828","3.0","1.4782608695652173","512.5270552998849","39","0","3"
32,"JOUGHIN","828","3.0","2.2028985507246377","0.0","2","0","3"
33,"LEE","828","3.0","2.0579710144927534","21.494148306562487","8","0","4"
34,"LIGHTOLLER","828","3.0","1.7826086956521738","112.99226522531481","18","0","5"
35,"LITTLE BOY","828","4.0","2.8260869565217392","0.0","3","0","3"
36,"LIZZY","828","3.0","2.2028985507246377","0.5","6","0","0"
37,"LOVEJOY","828","3.0","1.7971014492753623","101.43597922246461","19","0","5"
38,"LOVETT","828","3.0","2.130434782608696","112.55109890109884","11","0","0"
39,"LOWE","828","3.0","2.2028985507246377","0.1111111111111111","3","0","1"
40,"MADELEINE","828","3.0","2.028985507246377","0.0","7","0","4"
41,"MAN","828","3.0","1.9565217391304348","5.765685045948205","11","0","5"
42,"MARVIN","828","3.0","2.0144927536231885","0.0","6","0","5"
43,"MASTER AT ARMS","828","3.0","2.0434782608695654","0.3333333333333333","8","0","5"
44,"MOLLY","828","3.0","1.7391304347826086","133.98394725030886","23","0","4"
45,"MOODY","828","4.0","2.3043478260869565","10.485764629471724","8","0","4"
46,"MOTHER","828","4.0","2.449275362318841","0.0","2","0","3"
47,"MURDOCH","828","4.0","2.1449275362318843","36.75206737706738","12","0","4"
48,"OLAF","828","4.0","2.4057971014492754","0.0","4","0","3"
49,"OLD ROSE","828","3.0","1.8405797101449275","78.95067228093545","15","0","5"
50,"OPERATOR","828","3.0","2.318840579710145","0.0","1","0","0"
51,"PHILLIPS","828","4.0","2.8260869565217392","0.0","2","0","2"
52,"PORTER","828","3.0","2.1594202898550723","0.0","7","0","5"
53,"PUBKEEPER","828","4.0","2.4057971014492754","0.0","4","0","3"
54,"REPORTER","828","3.0","2.246376811594203","0.0","3","0","0"
55,"ROSE","828","2.0","1.3333333333333333","898.3565569830475","46","0","0"
56,"ROWE","828","3.0","2.1449275362318843","2.6392857142857147","3","0","4"
57,"RUTH","828","3.0","1.681159420289855","87.13324756598752","25","0","5"
58,"SEAMAN","828","4.0","2.782608695652174","0.0","1","0","1"
59,"SIR COSMO","828","3.0","2.0144927536231885","13.8585914085914","8","0","4"
60,"SMITH","828","3.0","1.855072463768116","133.0575912175051","15","0","2"
61,"STEWARD","828","3.0","2.0144927536231885","29.6140540745804","9","0","3"
62,"STEWARD #2","828","4.0","2.3333333333333335","10.324407944996182","6","0","3"
63,"STEWARD BARNES","828","3.0","2.0434782608695654","0.25757575757575757","7","0","5"
64,"SVEN","828","4.0","2.4057971014492754","0.0","4","0","3"
65,"TOMMY","828","3.0","2.0144927536231885","8.477176637245286","7","0","3"
66,"TRANSITION","828","3.0","2.2318840579710146","0.0","3","0","5"
67,"TRUDY","828","3.0","2.246376811594203","0.0","2","0","5"
68,"WAITER","828","3.0","1.9565217391304348","0.0","10","0","1"
69,"WOMAN","828","3.0","1.9275362318840579","49.989970598716724","12","0","3"
70,"WOMAN IN CROWD","828","4.0","2.449275362318841","0.0","4","0","5"
