"from","to","weight"
"ALIEN","HANNAH",NA
"ALIEN","SID",NA
"ALIEN","WOODY",NA
"ALIEN #1","ALIEN #2","2.0"
"ALIEN #1","ALIEN #3",NA
"ALIEN #1","ALIEN #4",NA
"ALIEN #1","SID",NA
"ALIEN #1","WOODY",NA
"ALIEN #2","ALIEN #3",NA
"ALIEN #2","ALIEN #4",NA
"ALIEN #2","SID",NA
"ALIEN #2","WOODY",NA
"ALIEN #4","ALIEN #3",NA
"ALIENS","ALIEN #1",NA
"ALIENS","ALIEN #2",NA
"ALIENS","ALIEN #3",NA
"ALIENS","ALIEN #4",NA
"ALIENS","SID",NA
"ALIENS","WOODY",NA
"ANDY","ATTENDANT",NA
"ANDY","BO PEEP","5.0"
"ANDY","FRIEND #2",NA
"ANDY","HAMM","4.0"
"ANDY","MIKE",NA
"ANDY","MR SPELL",NA
"ANDY","PIZZA DELIVERER",NA
"ANDY","RC CAR",NA
"ANDY","SLINKY","3.0"
"ANDY","TOYS",NA
"BO PEEP","HAMM","4.0"
"BO PEEP","MIKE",NA
"BO PEEP","MR POTATO HEAD","5.0"
"BO PEEP","MR SPELL",NA
"BO PEEP","REX","8.0"
"BO PEEP","ROBOT",NA
"BO PEEP","SARGENT","3.0"
"BO PEEP","SID",NA
"BO PEEP","SLINKY","6.0"
"BO PEEP","WOODY","6.0"
"BUZZ","ALIEN",NA
"BUZZ","ALIEN #1",NA
"BUZZ","ALIEN #2",NA
"BUZZ","ALIEN #3",NA
"BUZZ","ALIEN #4",NA
"BUZZ","ALIENS",NA
"BUZZ","ANDY","4.0"
"BUZZ","ATTENDANT","2.0"
"BUZZ","BO PEEP","3.0"
"BUZZ","KID #1",NA
"BUZZ","KID #2",NA
"BUZZ","LENNY",NA
"BUZZ","LOCAL ANNOUNCER",NA
"BUZZ","MALE CHORUS",NA
"BUZZ","MR POTATO HEAD","4.0"
"BUZZ","MRS DAVIS","4.0"
"BUZZ","RC CAR",NA
"BUZZ","REX","2.0"
"BUZZ","ROBOT",NA
"BUZZ","SARGENT","2.0"
"BUZZ","SLINKY","3.0"
"BUZZ","TOYS",NA
"BUZZ","TV ANNOUNCER",NA
"BUZZ","TV BUZZ",NA
"BUZZ","WOODY","18.0"
"FRIEND #1","ANDY",NA
"FRIEND #1","BO PEEP",NA
"FRIEND #1","BUZZ",NA
"FRIEND #1","FRIEND #2",NA
"FRIEND #1","HAMM",NA
"FRIEND #1","MRS DAVIS",NA
"FRIEND #1","SLINKY",NA
"FRIEND #2","BO PEEP",NA
"FRIEND #2","BUZZ",NA
"FRIEND #2","HAMM",NA
"FRIEND #2","MRS DAVIS",NA
"FRIEND #2","SLINKY",NA
"HAMM","BUZZ","4.0"
"HAMM","LENNY",NA
"HAMM","MIKE",NA
"HAMM","MR POTATO HEAD","8.0"
"HAMM","MR SPELL",NA
"HAMM","WOODY","7.0"
"HANNAH","BUZZ","2.0"
"HANNAH","MOM",NA
"HANNAH","SID",NA
"HANNAH","WOODY","3.0"
"KID #1","KID #2",NA
"KID #1","LOCAL ANNOUNCER",NA
"KID #1","MALE CHORUS",NA
"KID #1","TV ANNOUNCER",NA
"KID #1","TV BUZZ",NA
"KID #2","LOCAL ANNOUNCER",NA
"KID #2","TV BUZZ",NA
"LENNY","BO PEEP",NA
"LENNY","REX","2.0"
"LENNY","SLINKY","2.0"
"LENNY","TOYS",NA
"MALE CHORUS","KID #2",NA
"MALE CHORUS","LOCAL ANNOUNCER",NA
"MALE CHORUS","TV ANNOUNCER",NA
"MALE CHORUS","TV BUZZ",NA
"MIKE","MR SPELL",NA
"MR POTATO HEAD","ANDY","4.0"
"MR POTATO HEAD","FRIEND #1",NA
"MR POTATO HEAD","FRIEND #2",NA
"MR POTATO HEAD","LENNY",NA
"MR POTATO HEAD","MIKE",NA
"MR POTATO HEAD","MR SPELL",NA
"MR POTATO HEAD","ROBOT",NA
"MR POTATO HEAD","SID",NA
"MR POTATO HEAD","WOODY","13.0"
"MRS DAVIS","ANDY","9.0"
"MRS DAVIS","ATTENDANT",NA
"MRS DAVIS","BO PEEP","4.0"
"MRS DAVIS","HAMM","3.0"
"MRS DAVIS","MR POTATO HEAD","3.0"
"MRS DAVIS","PIZZA DELIVERER",NA
"MRS DAVIS","RC CAR",NA
"MRS DAVIS","REX","2.0"
"MRS DAVIS","SLINKY","2.0"
"MRS DAVIS","TOYS",NA
"MRS DAVIS","WOODY","4.0"
"PIZZA DELIVERER","ATTENDANT","2.0"
"PIZZA DELIVERER","BUZZ",NA
"PIZZA DELIVERER","WOODY",NA
"RC CAR","BO PEEP",NA
"RC CAR","HAMM",NA
"RC CAR","MR POTATO HEAD",NA
"RC CAR","SARGENT",NA
"REX","ANDY","3.0"
"REX","FRIEND #1",NA
"REX","FRIEND #2",NA
"REX","HAMM","6.0"
"REX","MIKE",NA
"REX","MR POTATO HEAD","10.0"
"REX","MR SPELL",NA
"REX","RC CAR",NA
"REX","ROBOT",NA
"REX","SARGENT","4.0"
"REX","SID",NA
"REX","SLINKY","6.0"
"REX","WOODY","6.0"
"ROBOT","HAMM",NA
"ROBOT","LENNY",NA
"ROBOT","SID",NA
"ROBOT","SLINKY",NA
"ROBOT GUARDS","BUZZ","2.0"
"SARGENT","ANDY","3.0"
"SARGENT","FRIEND #1",NA
"SARGENT","FRIEND #2",NA
"SARGENT","HAMM","5.0"
"SARGENT","MIKE",NA
"SARGENT","MR POTATO HEAD","5.0"
"SARGENT","MR SPELL",NA
"SARGENT","MRS DAVIS","2.0"
"SARGENT","WOODY","4.0"
"SID","ALIEN #3",NA
"SID","ALIEN #4",NA
"SID","BUZZ","4.0"
"SID","HAMM","2.0"
"SID","LENNY",NA
"SID","SLINKY",NA
"SID","WOODY","5.0"
"SID'S MOM","BUZZ",NA
"SID'S MOM","SID",NA
"SLINKY","HAMM","3.0"
"SLINKY","MIKE",NA
"SLINKY","MR POTATO HEAD","5.0"
"SLINKY","MR SPELL",NA
"SLINKY","RC CAR",NA
"SLINKY","SARGENT","3.0"
"SLINKY","WOODY","9.0"
"SPACE COMMANDER","BUZZ",NA
"SPACE COMMANDER","KID #1",NA
"SPACE COMMANDER","KID #2",NA
"SPACE COMMANDER","LOCAL ANNOUNCER",NA
"SPACE COMMANDER","MALE CHORUS",NA
"SPACE COMMANDER","TV ANNOUNCER",NA
"SPACE COMMANDER","TV BUZZ",NA
"TOYS","BO PEEP","2.0"
"TOYS","HAMM",NA
"TOYS","MR POTATO HEAD","2.0"
"TOYS","RC CAR",NA
"TOYS","REX","3.0"
"TOYS","SARGENT",NA
"TOYS","SLINKY","3.0"
"TOYS","WOODY",NA
