"id","name","movie_id","Eccentricity","Closeness Centrality","Betweenness Centrality","Degree","Component ID","Modularity Class"
1,"ALIEN","836","3.0","1.9210526315789473","0.0","4","0","0"
2,"ALIEN #1","836","3.0","1.868421052631579","0.0","7","0","0"
3,"ALIEN #2","836","3.0","1.868421052631579","0.0","7","0","0"
4,"ALIEN #3","836","3.0","1.868421052631579","0.0","7","0","0"
5,"ALIEN #4","836","3.0","1.868421052631579","0.0","7","0","0"
6,"ALIENS","836","3.0","1.868421052631579","0.0","7","0","0"
7,"ANDY","836","3.0","1.5789473684210527","11.399999999999999","17","0","1"
8,"ATTENDANT","836","3.0","1.9210526315789473","0.0","5","0","2"
9,"BO PEEP","836","3.0","1.5526315789473684","7.6499999999999995","18","0","1"
10,"BUZZ","836","2.0","1.105263157894737","330.81666666666666","34","0","3"
11,"FRIEND #1","836","3.0","1.736842105263158","0.0","11","0","1"
12,"FRIEND #2","836","3.0","1.736842105263158","0.0","11","0","1"
13,"HAMM","836","3.0","1.5526315789473684","7.6499999999999995","18","0","1"
14,"HANNAH","836","3.0","1.894736842105263","37.0","5","0","0"
15,"KID #1","836","3.0","1.9210526315789473","0.0","7","0","3"
16,"KID #2","836","3.0","1.9210526315789473","0.0","7","0","3"
17,"LENNY","836","3.0","1.763157894736842","0.25","10","0","1"
18,"LOCAL ANNOUNCER","836","3.0","1.9210526315789473","0.0","7","0","3"
19,"MALE CHORUS","836","3.0","1.9210526315789473","0.0","7","0","3"
20,"MIKE","836","3.0","2.0","0.0","9","0","1"
21,"MOM","836","4.0","2.8684210526315788","0.0","1","0","0"
22,"MR POTATO HEAD","836","3.0","1.5526315789473684","7.6499999999999995","18","0","1"
23,"MR SPELL","836","3.0","2.0","0.0","9","0","1"
24,"MRS DAVIS","836","3.0","1.631578947368421","5.8999999999999995","15","0","1"
25,"PIZZA DELIVERER","836","3.0","1.9210526315789473","0.0","5","0","2"
26,"RC CAR","836","3.0","1.736842105263158","0.0","11","0","1"
27,"REX","836","3.0","1.5526315789473684","7.6499999999999995","18","0","1"
28,"ROBOT","836","3.0","1.7894736842105263","0.0","9","0","1"
29,"ROBOT GUARDS","836","3.0","2.0789473684210527","0.0","1","0","3"
30,"SARGENT","836","3.0","1.631578947368421","3.9000000000000004","15","0","1"
31,"SID","836","2.0","1.5526315789473684","31.666666666666664","17","0","0"
32,"SID'S MOM","836","3.0","1.9736842105263157","0.0","3","0","0"
33,"SLINKY","836","3.0","1.5263157894736843","44.650000000000006","19","0","1"
34,"SPACE COMMANDER","836","3.0","1.9210526315789473","0.0","7","0","3"
35,"TOYS","836","3.0","1.7105263157894737","0.5","12","0","1"
36,"TV ANNOUNCER","836","3.0","1.9210526315789473","0.0","7","0","3"
37,"TV BUZZ","836","3.0","1.9210526315789473","0.0","7","0","3"
38,"WOODY","836","2.0","1.263157894736842","108.31666666666669","28","0","0"
39,"WOUNDED SOLDIER","836","4.0","2.5","0.0","1","0","1"
