"id","name","pol","n","m","directed"
1,"1","left",1490,19025,TRUE
2,"2","left",1490,19025,TRUE
3,"3","left",1490,19025,TRUE
4,"4","left",1490,19025,TRUE
5,"5","left",1490,19025,TRUE
6,"6","left",1490,19025,TRUE
7,"7","left",1490,19025,TRUE
8,"8","left",1490,19025,TRUE
9,"9","left",1490,19025,TRUE
10,"10","left",1490,19025,TRUE
11,"11","left",1490,19025,TRUE
12,"12","left",1490,19025,TRUE
13,"13","left",1490,19025,TRUE
14,"14","left",1490,19025,TRUE
15,"15","left",1490,19025,TRUE
16,"16","left",1490,19025,TRUE
17,"17","left",1490,19025,TRUE
18,"18","left",1490,19025,TRUE
19,"19","left",1490,19025,TRUE
20,"20","left",1490,19025,TRUE
21,"21","left",1490,19025,TRUE
22,"22","left",1490,19025,TRUE
23,"23","left",1490,19025,TRUE
24,"24","left",1490,19025,TRUE
25,"25","left",1490,19025,TRUE
26,"26","left",1490,19025,TRUE
27,"27","left",1490,19025,TRUE
28,"28","left",1490,19025,TRUE
29,"29","left",1490,19025,TRUE
30,"30","left",1490,19025,TRUE
31,"31","left",1490,19025,TRUE
32,"32","left",1490,19025,TRUE
33,"33","left",1490,19025,TRUE
34,"34","left",1490,19025,TRUE
35,"35","left",1490,19025,TRUE
36,"36","left",1490,19025,TRUE
37,"37","left",1490,19025,TRUE
38,"38","left",1490,19025,TRUE
39,"39","left",1490,19025,TRUE
40,"40","left",1490,19025,TRUE
41,"41","left",1490,19025,TRUE
42,"42","left",1490,19025,TRUE
43,"43","left",1490,19025,TRUE
44,"44","left",1490,19025,TRUE
45,"45","left",1490,19025,TRUE
46,"46","left",1490,19025,TRUE
47,"47","left",1490,19025,TRUE
48,"48","left",1490,19025,TRUE
49,"49","left",1490,19025,TRUE
50,"50","left",1490,19025,TRUE
51,"51","left",1490,19025,TRUE
52,"52","left",1490,19025,TRUE
53,"53","left",1490,19025,TRUE
54,"54","left",1490,19025,TRUE
55,"55","left",1490,19025,TRUE
56,"56","left",1490,19025,TRUE
57,"57","left",1490,19025,TRUE
58,"58","left",1490,19025,TRUE
59,"59","left",1490,19025,TRUE
60,"60","left",1490,19025,TRUE
61,"61","left",1490,19025,TRUE
62,"62","left",1490,19025,TRUE
63,"63","left",1490,19025,TRUE
64,"64","left",1490,19025,TRUE
65,"65","left",1490,19025,TRUE
66,"66","left",1490,19025,TRUE
67,"67","left",1490,19025,TRUE
68,"68","left",1490,19025,TRUE
69,"69","left",1490,19025,TRUE
70,"70","left",1490,19025,TRUE
71,"71","left",1490,19025,TRUE
72,"72","left",1490,19025,TRUE
73,"73","left",1490,19025,TRUE
74,"74","left",1490,19025,TRUE
75,"75","left",1490,19025,TRUE
