"id","name","pol","n","m","directed"
1,"1","left",867,18280,TRUE
2,"2","left",867,18280,TRUE
3,"3","left",867,18280,TRUE
4,"4","left",867,18280,TRUE
5,"5","left",867,18280,TRUE
6,"6","left",867,18280,TRUE
7,"7","left",867,18280,TRUE
8,"8","left",867,18280,TRUE
9,"9","left",867,18280,TRUE
10,"10","left",867,18280,TRUE
11,"11","left",867,18280,TRUE
12,"12","left",867,18280,TRUE
13,"13","left",867,18280,TRUE
14,"14","left",867,18280,TRUE
15,"15","left",867,18280,TRUE
16,"16","left",867,18280,TRUE
17,"17","left",867,18280,TRUE
18,"18","left",867,18280,TRUE
19,"19","left",867,18280,TRUE
20,"20","left",867,18280,TRUE
21,"21","left",867,18280,TRUE
22,"22","left",867,18280,TRUE
23,"23","left",867,18280,TRUE
24,"24","left",867,18280,TRUE
25,"25","left",867,18280,TRUE
26,"26","left",867,18280,TRUE
27,"27","left",867,18280,TRUE
28,"28","left",867,18280,TRUE
29,"29","left",867,18280,TRUE
30,"30","left",867,18280,TRUE
31,"31","left",867,18280,TRUE
32,"32","left",867,18280,TRUE
33,"33","left",867,18280,TRUE
34,"34","left",867,18280,TRUE
35,"35","left",867,18280,TRUE
36,"36","left",867,18280,TRUE
37,"37","left",867,18280,TRUE
38,"38","left",867,18280,TRUE
39,"39","left",867,18280,TRUE
40,"40","left",867,18280,TRUE
41,"41","left",867,18280,TRUE
42,"42","left",867,18280,TRUE
43,"43","left",867,18280,TRUE
44,"44","left",867,18280,TRUE
45,"45","left",867,18280,TRUE
46,"46","left",867,18280,TRUE
47,"47","left",867,18280,TRUE
48,"48","left",867,18280,TRUE
49,"49","left",867,18280,TRUE
50,"50","left",867,18280,TRUE
51,"51","left",867,18280,TRUE
52,"52","left",867,18280,TRUE
53,"53","left",867,18280,TRUE
54,"54","left",867,18280,TRUE
55,"55","left",867,18280,TRUE
56,"56","left",867,18280,TRUE
57,"57","left",867,18280,TRUE
58,"58","left",867,18280,TRUE
59,"59","left",867,18280,TRUE
60,"60","left",867,18280,TRUE
61,"61","left",867,18280,TRUE
62,"62","left",867,18280,TRUE
63,"63","left",867,18280,TRUE
64,"64","left",867,18280,TRUE
65,"65","left",867,18280,TRUE
66,"66","left",867,18280,TRUE
67,"67","left",867,18280,TRUE
68,"68","left",867,18280,TRUE
69,"69","left",867,18280,TRUE
70,"70","left",867,18280,TRUE
71,"71","left",867,18280,TRUE
72,"72","left",867,18280,TRUE
73,"73","left",867,18280,TRUE
74,"74","left",867,18280,TRUE
75,"75","left",867,18280,TRUE
76,"76","left",867,18280,TRUE
77,"77","left",867,18280,TRUE
78,"78","left",867,18280,TRUE
79,"79","left",867,18280,TRUE
80,"80","left",867,18280,TRUE
81,"81","left",867,18280,TRUE
82,"82","left",867,18280,TRUE
83,"83","left",867,18280,TRUE
84,"84","left",867,18280,TRUE
85,"85","left",867,18280,TRUE
86,"86","left",867,18280,TRUE
87,"87","left",867,18280,TRUE
88,"88","left",867,18280,TRUE
89,"89","left",867,18280,TRUE
90,"90","left",867,18280,TRUE
91,"91","left",867,18280,TRUE
92,"92","left",867,18280,TRUE
93,"93","left",867,18280,TRUE
94,"94","left",867,18280,TRUE
95,"95","left",867,18280,TRUE
96,"96","left",867,18280,TRUE
97,"97","left",867,18280,TRUE
98,"98","left",867,18280,TRUE
99,"99","left",867,18280,TRUE
100,"100","left",867,18280,TRUE
101,"101","left",867,18280,TRUE
102,"102","left",867,18280,TRUE
103,"103","left",867,18280,TRUE
104,"104","left",867,18280,TRUE
105,"105","left",867,18280,TRUE
106,"106","left",867,18280,TRUE
107,"107","left",867,18280,TRUE
108,"108","left",867,18280,TRUE
109,"109","left",867,18280,TRUE
110,"110","left",867,18280,TRUE
111,"111","left",867,18280,TRUE
112,"112","left",867,18280,TRUE
113,"113","left",867,18280,TRUE
114,"114","left",867,18280,TRUE
115,"115","left",867,18280,TRUE
116,"116","left",867,18280,TRUE
117,"117","left",867,18280,TRUE
118,"118","left",867,18280,TRUE
119,"119","left",867,18280,TRUE
120,"120","left",867,18280,TRUE
121,"121","left",867,18280,TRUE
122,"122","left",867,18280,TRUE
123,"123","left",867,18280,TRUE
124,"124","left",867,18280,TRUE
125,"125","left",867,18280,TRUE
126,"126","left",867,18280,TRUE
127,"127","left",867,18280,TRUE
128,"128","left",867,18280,TRUE
129,"129","left",867,18280,TRUE
130,"130","left",867,18280,TRUE
131,"131","left",867,18280,TRUE
132,"132","left",867,18280,TRUE
133,"133","left",867,18280,TRUE
134,"134","left",867,18280,TRUE
135,"135","left",867,18280,TRUE
136,"136","left",867,18280,TRUE
137,"137","left",867,18280,TRUE
138,"138","left",867,18280,TRUE
139,"139","left",867,18280,TRUE
140,"140","left",867,18280,TRUE
141,"141","left",867,18280,TRUE
142,"142","left",867,18280,TRUE
143,"143","left",867,18280,TRUE
144,"144","left",867,18280,TRUE
145,"145","left",867,18280,TRUE
146,"146","left",867,18280,TRUE
147,"147","left",867,18280,TRUE
148,"148","left",867,18280,TRUE
149,"149","left",867,18280,TRUE
150,"150","left",867,18280,TRUE
151,"151","left",867,18280,TRUE
152,"152","left",867,18280,TRUE
153,"153","left",867,18280,TRUE
154,"154","left",867,18280,TRUE
155,"155","left",867,18280,TRUE
156,"156","left",867,18280,TRUE
157,"157","left",867,18280,TRUE
158,"158","left",867,18280,TRUE
159,"159","left",867,18280,TRUE
160,"160","left",867,18280,TRUE
161,"161","left",867,18280,TRUE
162,"162","left",867,18280,TRUE
163,"163","left",867,18280,TRUE
164,"164","left",867,18280,TRUE
165,"165","left",867,18280,TRUE
166,"166","left",867,18280,TRUE
167,"167","left",867,18280,TRUE
168,"168","left",867,18280,TRUE
169,"169","left",867,18280,TRUE
170,"170","left",867,18280,TRUE
171,"171","left",867,18280,TRUE
172,"172","left",867,18280,TRUE
173,"173","left",867,18280,TRUE
174,"174","left",867,18280,TRUE
175,"175","left",867,18280,TRUE
176,"176","left",867,18280,TRUE
177,"177","left",867,18280,TRUE
178,"178","left",867,18280,TRUE
179,"179","left",867,18280,TRUE
180,"180","left",867,18280,TRUE
181,"181","left",867,18280,TRUE
182,"182","left",867,18280,TRUE
183,"183","left",867,18280,TRUE
184,"184","left",867,18280,TRUE
185,"185","left",867,18280,TRUE
186,"186","left",867,18280,TRUE
187,"187","left",867,18280,TRUE
188,"188","left",867,18280,TRUE
189,"189","left",867,18280,TRUE
190,"190","left",867,18280,TRUE
191,"191","left",867,18280,TRUE
192,"192","left",867,18280,TRUE
193,"193","left",867,18280,TRUE
194,"194","left",867,18280,TRUE
195,"195","left",867,18280,TRUE
196,"196","left",867,18280,TRUE
197,"197","left",867,18280,TRUE
198,"198","left",867,18280,TRUE
199,"199","left",867,18280,TRUE
200,"200","left",867,18280,TRUE
201,"201","left",867,18280,TRUE
202,"202","left",867,18280,TRUE
203,"203","left",867,18280,TRUE
204,"204","left",867,18280,TRUE
205,"205","left",867,18280,TRUE
206,"206","left",867,18280,TRUE
207,"207","left",867,18280,TRUE
208,"208","left",867,18280,TRUE
209,"209","left",867,18280,TRUE
210,"210","left",867,18280,TRUE
211,"211","left",867,18280,TRUE
212,"212","left",867,18280,TRUE
213,"213","left",867,18280,TRUE
