"from","to","weight"
"Bottom","Cobweb",2
"Bottom","Demetrius",2
"Bottom","Egeus",1
"Bottom","Flute",3
"Bottom","Helena",1
"Bottom","Hermia",1
"Bottom","Hippolyta",2
"Bottom","Lion",1
"Bottom","Lysander",2
"Bottom","Moonshine",1
"Bottom","Moth",1
"Bottom","Mustardseed",2
"Bottom","Oberon",2
"Bottom","Peaseblossom",2
"Bottom","Philostrate",1
"Bottom","Prologue",1
"Bottom","Puck",3
"Bottom","Pyramus",1
"Bottom","Quince",3
"Bottom","Snout",2
"Bottom","Snug",2
"Bottom","Starveling",3
"Bottom","Theseus",2
"Bottom","Thisbe",1
"Bottom","Titania",3
"Bottom","Wall",1
"Bottom","All",2
"Cobweb","Demetrius",1
"Cobweb","Egeus",1
"Cobweb","Flute",1
"Cobweb","Helena",1
"Cobweb","Hermia",1
"Cobweb","Hippolyta",1
"Cobweb","Lysander",1
"Cobweb","Moth",1
"Cobweb","Mustardseed",2
"Cobweb","Oberon",1
"Cobweb","Peaseblossom",2
"Cobweb","Puck",2
"Cobweb","Quince",1
"Cobweb","Snout",1
"Cobweb","Starveling",1
"Cobweb","Theseus",1
"Cobweb","Titania",2
"Cobweb","All",1
"Demetrius","Egeus",2
"Demetrius","Fairy",2
"Demetrius","Helena",5
"Demetrius","Hermia",4
"Demetrius","Hippolyta",3
"Demetrius","Lion",1
"Demetrius","Lysander",5
"Demetrius","Moonshine",1
"Demetrius","Mustardseed",1
"Demetrius","Oberon",5
"Demetrius","Peaseblossom",1
"Demetrius","Philostrate",1
"Demetrius","Prologue",1
"Demetrius","Puck",5
"Demetrius","Pyramus",1
"Demetrius","Theseus",3
"Demetrius","Thisbe",1
"Demetrius","Titania",4
"Demetrius","Wall",1
"Demetrius","Hernia",1
"Egeus","Helena",2
"Egeus","Hermia",2
"Egeus","Hippolyta",2
"Egeus","Lysander",2
"Egeus","Mustardseed",1
"Egeus","Oberon",1
"Egeus","Peaseblossom",1
"Egeus","Puck",1
"Egeus","Theseus",2
"Egeus","Titania",1
"Fairy","Helena",2
"Fairy","Hermia",1
"Fairy","Lysander",1
"Fairy","Oberon",2
"Fairy","Puck",2
"Fairy","Titania",2
"Flute","Moth",1
"Flute","Mustardseed",1
"Flute","Peaseblossom",1
"Flute","Puck",1
"Flute","Quince",3
"Flute","Snout",2
"Flute","Snug",2
"Flute","Starveling",3
"Flute","Titania",1
"Flute","All",2
"Helena","Hermia",4
"Helena","Hippolyta",2
"Helena","Lysander",4
"Helena","Mustardseed",1
"Helena","Oberon",4
"Helena","Peaseblossom",1
"Helena","Puck",4
"Helena","Theseus",2
"Helena","Titania",3
"Helena","Hernia",1
"Hermia","Hippolyta",2
"Hermia","Lysander",4
"Hermia","Mustardseed",1
"Hermia","Oberon",3
"Hermia","Peaseblossom",1
"Hermia","Puck",3
"Hermia","Theseus",2
"Hermia","Titania",2
"Hermia","Hernia",1
"Hippolyta","Lion",1
"Hippolyta","Lysander",3
"Hippolyta","Moonshine",1
"Hippolyta","Mustardseed",1
"Hippolyta","Oberon",2
"Hippolyta","Peaseblossom",1
"Hippolyta","Philostrate",1
"Hippolyta","Prologue",1
"Hippolyta","Puck",2
"Hippolyta","Pyramus",1
"Hippolyta","Theseus",3
"Hippolyta","Thisbe",1
"Hippolyta","Titania",2
"Hippolyta","Wall",1
"Lion","Lysander",1
"Lion","Moonshine",1
"Lion","Oberon",1
"Lion","Philostrate",1
"Lion","Prologue",1
"Lion","Puck",1
"Lion","Pyramus",1
"Lion","Theseus",1
"Lion","Thisbe",1
"Lion","Titania",1
"Lion","Wall",1
"Lysander","Moonshine",1
"Lysander","Mustardseed",1
"Lysander","Oberon",4
"Lysander","Peaseblossom",1
"Lysander","Philostrate",1
"Lysander","Prologue",1
"Lysander","Puck",4
"Lysander","Pyramus",1
"Lysander","Theseus",3
"Lysander","Thisbe",1
"Lysander","Titania",3
"Lysander","Wall",1
"Lysander","Hernia",1
"Moonshine","Oberon",1
"Moonshine","Philostrate",1
"Moonshine","Prologue",1
"Moonshine","Puck",1
"Moonshine","Pyramus",1
"Moonshine","Theseus",1
"Moonshine","Thisbe",1
"Moonshine","Titania",1
"Moonshine","Wall",1
"Moth","Mustardseed",1
"Moth","Peaseblossom",1
"Moth","Puck",1
"Moth","Quince",1
"Moth","Snout",1
"Moth","Starveling",1
"Moth","Titania",1
"Moth","All",1
"Mustardseed","Oberon",1
"Mustardseed","Peaseblossom",2
"Mustardseed","Puck",2
"Mustardseed","Quince",1
"Mustardseed","Snout",1
"Mustardseed","Starveling",1
"Mustardseed","Theseus",1
"Mustardseed","Titania",2
"Mustardseed","All",1
"Oberon","Peaseblossom",1
"Oberon","Philostrate",1
"Oberon","Prologue",1
