"id","name","n","m","directed"
1,"1",30,238,FALSE
2,"2",30,238,FALSE
3,"3",30,238,FALSE
4,"4",30,238,FALSE
5,"5",30,238,FALSE
6,"6",30,238,FALSE
7,"7",30,238,FALSE
8,"8",30,238,FALSE
9,"9",30,238,FALSE
10,"10",30,238,FALSE
11,"11",30,238,FALSE
12,"12",30,238,FALSE
13,"13",30,238,FALSE
14,"14",30,238,FALSE
15,"15",30,238,FALSE
16,"16",30,238,FALSE
17,"17",30,238,FALSE
18,"18",30,238,FALSE
19,"19",30,238,FALSE
20,"20",30,238,FALSE
21,"21",30,238,FALSE
22,"22",30,238,FALSE
23,"23",30,238,FALSE
24,"24",30,238,FALSE
25,"25",30,238,FALSE
26,"26",30,238,FALSE
27,"27",30,238,FALSE
28,"28",30,238,FALSE
29,"29",30,238,FALSE
30,"30",30,238,FALSE
