"id","name","n","m","directed"
1,"1",24,112,FALSE
2,"2",24,112,FALSE
3,"3",24,112,FALSE
4,"4",24,112,FALSE
5,"5",24,112,FALSE
6,"6",24,112,FALSE
7,"7",24,112,FALSE
8,"8",24,112,FALSE
9,"9",24,112,FALSE
10,"10",24,112,FALSE
11,"11",24,112,FALSE
12,"12",24,112,FALSE
13,"13",24,112,FALSE
14,"14",24,112,FALSE
15,"15",24,112,FALSE
16,"16",24,112,FALSE
17,"17",24,112,FALSE
18,"18",24,112,FALSE
19,"19",24,112,FALSE
20,"20",24,112,FALSE
21,"21",24,112,FALSE
22,"22",24,112,FALSE
23,"23",24,112,FALSE
24,"24",24,112,FALSE
