"from","to","weight"
"Agrippa","All",1
"Agrippa","Dercetas",1
"Agrippa","Dolabella",1
"Agrippa","Domitius Enobarbus",3
"Agrippa","Egyptian",1
"Agrippa","Eros",1
"Agrippa","Lepidus",3
"Agrippa","Mark Antony",3
"Agrippa","Mecaenas",4
"Agrippa","Messenger",1
"Agrippa","Octavia",2
"Agrippa","Octavius Caesar",5
"Agrippa","Proculeius",1
"Agrippa","Scarus",1
"Agrippa","Soldier",1
"Alexas","Charmian",3
"Alexas","Cleopatra",3
"Alexas","Domitius Enobarbus",1
"Alexas","First Attendant",1
"Alexas","Iras",1
"Alexas","Mardian",1
"Alexas","Mark Antony",1
"Alexas","Messenger",2
"Alexas","Second Attendant",1
"Alexas","Soothsayer",1
"Alexas","Second Messenger",1
"All","Captain",1
"All","Charmian",3
"All","Cleopatra",4
"All","Dercetas",2
"All","Diomedes",2
"All","Dolabella",1
"All","Domitius Enobarbus",1
"All","Egyptian",1
"All","Eros",3
"All","First Guard",1
"All","First Soldier",1
"All","Fourth Soldier",1
"All","Iras",2
"All","Mardian",1
"All","Mark Antony",5
"All","Mecaenas",1
"All","Octavius Caesar",1
"All","Proculeius",1
"All","Second Guard",1
"All","Second Soldier",1
"All","Soldier",1
"All","Third Guard",1
"All","Third Soldier",1
"Attendant","Cleopatra",2
"Attendant","Domitius Enobarbus",1
"Attendant","Euphronius",1
"Attendant","First Attendant",1
"Attendant","Mark Antony",2
"Attendant","Philo",1
"Attendant","Thyreus",1
"Attendant","Demetrius",1
"Attendants","Charmian",1
"Attendants","Cleopatra",1
"Attendants","Mardian",1
"Attendants","Messenger",1
"Canidius","Cleopatra",1
"Canidius","Domitius Enobarbus",2
"Canidius","Mark Antony",1
"Canidius","Messenger",1
"Canidius","Scarus",1
"Canidius","Soldier",1
"Captain","Charmian",1
"Captain","Cleopatra",1
"Captain","Eros",1
"Captain","Mark Antony",1
"Captain","Soldier",1
"Charmian","Cleopatra",10
"Charmian","Clown",1
"Charmian","Diomedes",1
"Charmian","Dolabella",1
"Charmian","Domitius Enobarbus",1
"Charmian","Eros",2
"Charmian","First Attendant",1
"Charmian","First Guard",1
"Charmian","Gallus",1
"Charmian","Guard",1
"Charmian","Iras",4
"Charmian","Mardian",2
"Charmian","Mark Antony",5
"Charmian","Messenger",3
"Charmian","Octavius Caesar",1
"Charmian","Proculeius",1
"Charmian","Second Attendant",1
