"id","name","n","m","directed"
1,"1",54,313,FALSE
2,"2",54,313,FALSE
3,"3",54,313,FALSE
4,"4",54,313,FALSE
5,"5",54,313,FALSE
6,"6",54,313,FALSE
7,"7",54,313,FALSE
8,"8",54,313,FALSE
9,"9",54,313,FALSE
10,"10",54,313,FALSE
11,"11",54,313,FALSE
12,"12",54,313,FALSE
13,"13",54,313,FALSE
14,"14",54,313,FALSE
15,"15",54,313,FALSE
16,"16",54,313,FALSE
17,"17",54,313,FALSE
18,"18",54,313,FALSE
19,"19",54,313,FALSE
20,"20",54,313,FALSE
21,"21",54,313,FALSE
22,"22",54,313,FALSE
23,"23",54,313,FALSE
24,"24",54,313,FALSE
25,"25",54,313,FALSE
26,"26",54,313,FALSE
27,"27",54,313,FALSE
28,"28",54,313,FALSE
29,"29",54,313,FALSE
30,"30",54,313,FALSE
31,"31",54,313,FALSE
32,"32",54,313,FALSE
33,"33",54,313,FALSE
34,"34",54,313,FALSE
35,"35",54,313,FALSE
36,"36",54,313,FALSE
37,"37",54,313,FALSE
38,"38",54,313,FALSE
39,"39",54,313,FALSE
40,"40",54,313,FALSE
41,"41",54,313,FALSE
42,"42",54,313,FALSE
43,"43",54,313,FALSE
44,"44",54,313,FALSE
45,"45",54,313,FALSE
46,"46",54,313,FALSE
47,"47",54,313,FALSE
48,"48",54,313,FALSE
49,"49",54,313,FALSE
50,"50",54,313,FALSE
51,"51",54,313,FALSE
52,"52",54,313,FALSE
53,"53",54,313,FALSE
54,"54",54,313,FALSE
