"from","to","weight"
"A Patrician","Aedile",1
"A Patrician","Brutus",1
"A Patrician","Citizens",1
"A Patrician","Cominius",2
"A Patrician","Coriolanus",2
"A Patrician","First Citizen",1
"A Patrician","First Senator",2
"A Patrician","Lartius",1
"A Patrician","Menenius",2
"A Patrician","Second Patrician",1
"A Patrician","Second Senator",1
"A Patrician","Sicinius",1
"A Patrician","Volumnia",1
"Aedile","Both Tribunes",2
"Aedile","Brutus",3
"Aedile","Citizens",3
"Aedile","Cominius",3
"Aedile","Coriolanus",2
"Aedile","First Citizen",2
"Aedile","First Senator",2
"Aedile","Lartius",1
"Aedile","Menenius",3
"Aedile","Messenger",1
"Aedile","Second Citizen",1
"Aedile","Second Messenger",1
"Aedile","Second Patrician",1
"Aedile","Second Senator",1
"Aedile","Sicinius",3
"Aedile","Third Citizen",1
"All","All Citizens",1
"All","Aufidius",2
"All","Both",1
"All","Both Citizens",1
"All","Brutus",3
"All","Citizens",1
"All","Cominius",3
"All","Coriolanus",4
"All","Fifth Citizen",1
"All","First Citizen",2
"All","First Senator",4
"All","First Servingman",1
"All","First Soldier",1
"All","Fourth Citizen",1
"All","Herald",1
"All","Lartius",2
"All","Marcius",3
"All","Menenius",3
"All","Messenger",3
"All","Second Citizen",2
"All","Second Senator",1
"All","Second Servingman",1
"All","Second Soldier",1
"All","Seventh Citizen",1
"All","Sicinius",3
"All","Sixth Citizen",1
"All","Third Citizen",1
"All","Third Servingman",1
"All","Titus",1
"All","Valeria",1
"All","Virgilia",1
"All","Volumnia",1
"All Citizens","Both Citizens",1
"All Citizens","Brutus",1
"All Citizens","Citizens",1
"All Citizens","Coriolanus",1
"All Citizens","Fifth Citizen",1
"All Citizens","First Citizen",1
"All Citizens","Fourth Citizen",1
"All Citizens","Menenius",1
"All Citizens","Second Citizen",1
"All Citizens","Seventh Citizen",1
"All Citizens","Sicinius",1
"All Citizens","Sixth Citizen",1
"All Citizens","Third Citizen",1
"All Conspirators","All The Lords",1
"All Conspirators","All The People",1
"All Conspirators","Aufidius",1
"All Conspirators","Coriolanus",1
"All Conspirators","First Conspirator",1
"All Conspirators","First Lord",1
"All Conspirators","Lords",1
"All Conspirators","Second Conspirator",1
"All Conspirators","Second Lord",1
"All Conspirators","Third Conspirator",1
"All Conspirators","Third Lord",1
"All The Lords","All The People",1
"All The Lords","Aufidius",1
"All The Lords","Coriolanus",1
"All The Lords","First Conspirator",1
"All The Lords","First Lord",1
"All The Lords","Lords",1
"All The Lords","Second Conspirator",1
"All The Lords","Second Lord",1
"All The Lords","Third Conspirator",1
"All The Lords","Third Lord",1
"All The People","Aufidius",1
"All The People","Coriolanus",1
"All The People","First Conspirator",1
"All The People","First Lord",1
"All The People","Lords",1
"All The People","Second Conspirator",1
"All The People","Second Lord",1
"All The People","Third Conspirator",1
"All The People","Third Lord",1
"Aufidius","Cominius",1
"Aufidius","Coriolanus",4
"Aufidius","First Conspirator",1
"Aufidius","First Lord",1
"Aufidius","First Senator",2
"Aufidius","First Servingman",1
"Aufidius","First Soldier",1
"Aufidius","Lords",1
"Aufidius","Marcius",1
"Aufidius","Menenius",1
"Aufidius","Second Conspirator",1
"Aufidius","Second Lord",1
"Aufidius","Second Senator",2
"Aufidius","Second Servingman",1
"Aufidius","Third Conspirator",1
"Aufidius","Third Servingman",1
"Aufidius","Virgilia",1
"Aufidius","Volumnia",1
"Aufidius","Third Lord",1
"Aufidius","Lieutenant",1
"Aufidius","Young Marcius",1
"Both","Brutus",1
"Both","Cominius",1
"Both","Coriolanus",1
"Both","Herald",1
"Both","Menenius",1
"Both","Messenger",1
"Both","Sicinius",1
"Both","Valeria",1
"Both","Virgilia",1
"Both","Volumnia",1
"Both Citizens","Brutus",1
"Both Citizens","Citizens",1
"Both Citizens","Coriolanus",1
"Both Citizens","Fifth Citizen",1
"Both Citizens","First Citizen",1
"Both Citizens","Fourth Citizen",1
"Both Citizens","Menenius",1
"Both Citizens","Second Citizen",1
"Both Citizens","Seventh Citizen",1
"Both Citizens","Sicinius",1
"Both Citizens","Sixth Citizen",1
"Both Citizens","Third Citizen",1
"Both Tribunes","Brutus",2
"Both Tribunes","Citizens",2
"Both Tribunes","Cominius",2
"Both Tribunes","Coriolanus",1
"Both Tribunes","First Citizen",1
"Both Tribunes","First Senator",1
"Both Tribunes","Menenius",2
"Both Tribunes","Messenger",1
"Both Tribunes","Second Citizen",1
"Both Tribunes","Second Messenger",1
"Both Tribunes","Sicinius",2
"Both Tribunes","Third Citizen",1
"Brutus","Citizens",4
"Brutus","Cominius",7
"Brutus","Coriolanus",5
"Brutus","Fifth Citizen",1
"Brutus","First Citizen",4
"Brutus","First Officer",1
"Brutus","First Senator",4
"Brutus","Fourth Citizen",1
"Brutus","Herald",1
"Brutus","Lartius",1
