"id","name","n","m","directed"
1,"1",39,200,FALSE
2,"2",39,200,FALSE
3,"3",39,200,FALSE
4,"4",39,200,FALSE
5,"5",39,200,FALSE
6,"6",39,200,FALSE
7,"7",39,200,FALSE
8,"8",39,200,FALSE
9,"9",39,200,FALSE
10,"10",39,200,FALSE
11,"11",39,200,FALSE
12,"12",39,200,FALSE
13,"13",39,200,FALSE
14,"14",39,200,FALSE
15,"15",39,200,FALSE
16,"16",39,200,FALSE
17,"17",39,200,FALSE
18,"18",39,200,FALSE
19,"19",39,200,FALSE
20,"20",39,200,FALSE
21,"21",39,200,FALSE
22,"22",39,200,FALSE
23,"23",39,200,FALSE
24,"24",39,200,FALSE
25,"25",39,200,FALSE
26,"26",39,200,FALSE
27,"27",39,200,FALSE
28,"28",39,200,FALSE
29,"29",39,200,FALSE
30,"30",39,200,FALSE
31,"31",39,200,FALSE
32,"32",39,200,FALSE
33,"33",39,200,FALSE
34,"34",39,200,FALSE
35,"35",39,200,FALSE
36,"36",39,200,FALSE
37,"37",39,200,FALSE
38,"38",39,200,FALSE
39,"39",39,200,FALSE
