"from","to","weight"
"All","Bernardo",1
"All","First Clown",1
"All","First Player",1
"All","First Priest",1
"All","Guildenstern",1
"All","Hamlet",4
"All","Horatio",4
"All","King Claudius",4
"All","Laertes",3
"All","Lord",1
"All","Lord Polonius",2
"All","Lucianus",1
"All","Marcellus",1
"All","Ophelia",1
"All","Osric",1
"All","Player King",1
"All","Player Queen",1
"All","Prince Fortinbras",1
"All","Prologue",1
"All","Queen Gertrude",4
"All","Rosencrantz",1
"All","Second Clown",1
"All","Voltimand",1
"All","First Ambassador",1
"Bernardo","Francisco",1
"Bernardo","Hamlet",1
"Bernardo","Horatio",2
"Bernardo","King Claudius",1
"Bernardo","Laertes",1
"Bernardo","Lord Polonius",1
"Bernardo","Marcellus",2
"Bernardo","Queen Gertrude",1
"Bernardo","Voltimand",1
"Captain","Hamlet",1
"Captain","Prince Fortinbras",1
"Captain","Rosencrantz",1
"First Clown","First Priest",1
"First Clown","Hamlet",1
"First Clown","Horatio",1
"First Clown","King Claudius",1
"First Clown","Laertes",1
"First Clown","Queen Gertrude",1
"First Clown","Second Clown",1
"First Player","Guildenstern",2
"First Player","Hamlet",2
"First Player","Horatio",1
"First Player","King Claudius",2
"First Player","Lord Polonius",2
"First Player","Lucianus",1
"First Player","Ophelia",1
"First Player","Player King",1
"First Player","Player Queen",1
"First Player","Prologue",1
"First Player","Queen Gertrude",2
"First Player","Rosencrantz",2
"First Player","Voltimand",1
"First Priest","Hamlet",1
"First Priest","Horatio",1
"First Priest","King Claudius",1
"First Priest","Laertes",1
"First Priest","Queen Gertrude",1
"First Priest","Second Clown",1
"Francisco","Horatio",1
"Francisco","Marcellus",1
"Gentleman","Horatio",1
"Gentleman","King Claudius",1
"Gentleman","Laertes",1
"Gentleman","Ophelia",1
"Gentleman","Queen Gertrude",1
"Gentleman","Danes",1
"Ghost","Hamlet",2
"Ghost","Horatio",1
"Ghost","Lord Polonius",1
"Ghost","Marcellus",1
"Ghost","Queen Gertrude",1
"Guildenstern","Hamlet",5
"Guildenstern","Horatio",1
"Guildenstern","King Claudius",4
"Guildenstern","Lord Polonius",4
"Guildenstern","Lucianus",1
"Guildenstern","Ophelia",2
"Guildenstern","Player King",1
"Guildenstern","Player Queen",1
"Guildenstern","Prologue",1
"Guildenstern","Queen Gertrude",3
"Guildenstern","Rosencrantz",5
"Guildenstern","Voltimand",1
"Hamlet","Horatio",6
"Hamlet","King Claudius",8
"Hamlet","Laertes",3
"Hamlet","Lord",1
"Hamlet","Lord Polonius",6
"Hamlet","Lucianus",1
"Hamlet","Marcellus",3
"Hamlet","Ophelia",2
"Hamlet","Osric",1
"Hamlet","Player King",1
"Hamlet","Player Queen",1
"Hamlet","Prince Fortinbras",2
"Hamlet","Prologue",1
"Hamlet","Queen Gertrude",7
"Hamlet","Rosencrantz",7
"Hamlet","Second Clown",1
"Hamlet","Voltimand",2
"Hamlet","First Ambassador",1
"Horatio","King Claudius",5
"Horatio","Laertes",4
"Horatio","Lord",1
"Horatio","Lord Polonius",2
"Horatio","Lucianus",1
"Horatio","Marcellus",4
