"id","name","n","m","directed"
1,"1",34,207,FALSE
2,"2",34,207,FALSE
3,"3",34,207,FALSE
4,"4",34,207,FALSE
5,"5",34,207,FALSE
6,"6",34,207,FALSE
7,"7",34,207,FALSE
8,"8",34,207,FALSE
9,"9",34,207,FALSE
10,"10",34,207,FALSE
11,"11",34,207,FALSE
12,"12",34,207,FALSE
13,"13",34,207,FALSE
14,"14",34,207,FALSE
15,"15",34,207,FALSE
16,"16",34,207,FALSE
17,"17",34,207,FALSE
18,"18",34,207,FALSE
19,"19",34,207,FALSE
20,"20",34,207,FALSE
21,"21",34,207,FALSE
22,"22",34,207,FALSE
23,"23",34,207,FALSE
24,"24",34,207,FALSE
25,"25",34,207,FALSE
26,"26",34,207,FALSE
27,"27",34,207,FALSE
28,"28",34,207,FALSE
29,"29",34,207,FALSE
30,"30",34,207,FALSE
31,"31",34,207,FALSE
32,"32",34,207,FALSE
33,"33",34,207,FALSE
34,"34",34,207,FALSE
