"id","name","n","m","directed"
1,"1",47,228,FALSE
2,"2",47,228,FALSE
3,"3",47,228,FALSE
4,"4",47,228,FALSE
5,"5",47,228,FALSE
6,"6",47,228,FALSE
7,"7",47,228,FALSE
8,"8",47,228,FALSE
9,"9",47,228,FALSE
10,"10",47,228,FALSE
11,"11",47,228,FALSE
12,"12",47,228,FALSE
13,"13",47,228,FALSE
14,"14",47,228,FALSE
15,"15",47,228,FALSE
16,"16",47,228,FALSE
17,"17",47,228,FALSE
18,"18",47,228,FALSE
19,"19",47,228,FALSE
20,"20",47,228,FALSE
21,"21",47,228,FALSE
22,"22",47,228,FALSE
23,"23",47,228,FALSE
24,"24",47,228,FALSE
25,"25",47,228,FALSE
26,"26",47,228,FALSE
27,"27",47,228,FALSE
28,"28",47,228,FALSE
29,"29",47,228,FALSE
30,"30",47,228,FALSE
31,"31",47,228,FALSE
32,"32",47,228,FALSE
33,"33",47,228,FALSE
34,"34",47,228,FALSE
35,"35",47,228,FALSE
36,"36",47,228,FALSE
37,"37",47,228,FALSE
38,"38",47,228,FALSE
39,"39",47,228,FALSE
40,"40",47,228,FALSE
41,"41",47,228,FALSE
42,"42",47,228,FALSE
43,"43",47,228,FALSE
44,"44",47,228,FALSE
45,"45",47,228,FALSE
46,"46",47,228,FALSE
47,"47",47,228,FALSE
