"from","to","weight"
"Alencon","Bastard Of Orleans",4
"Alencon","Bedford",2
"Alencon","Burgundy",4
"Alencon","Captain",1
"Alencon","Charles",7
"Alencon","Fastolfe",1
"Alencon","First Sentinel",1
"Alencon","First Soldier",1
"Alencon","Joan La Pucelle",7
"Alencon","Of Winchester",1
"Alencon","Reignier",5
"Alencon","Scout",1
"Alencon","Sentinels",1
"Alencon","Sergeant",1
"Alencon","Shepherd",1
"Alencon","Talbot",2
"Alencon","Warwick",1
"Alencon","Watch",1
"Alencon","York",1
"Alencon","Soldier",1
"All","Exeter",1
"All","Gloucester",1
"All","King Henry Vi",1
"All","Mayor",1
"All","Of Winchester",1
"All","Plantagenet",1
"All","Somerset",1
"All","Warwick",1
"Basset","Exeter",1
"Basset","Fastolfe",1
"Basset","Gloucester",2
"Basset","King Henry Vi",2
"Basset","Of Winchester",1
"Basset","Somerset",1
"Basset","Talbot",2
"Basset","Vernon",2
"Basset","Warwick",1
"Basset","York",1
"Bastard Of Orleans","Bedford",2
"Bastard Of Orleans","Burgundy",4
"Bastard Of Orleans","Captain",1
"Bastard Of Orleans","Charles",5
"Bastard Of Orleans","Fastolfe",1
"Bastard Of Orleans","First Sentinel",1
"Bastard Of Orleans","First Soldier",1
"Bastard Of Orleans","Joan La Pucelle",5
"Bastard Of Orleans","Reignier",3
"Bastard Of Orleans","Sentinels",1
"Bastard Of Orleans","Sergeant",1
"Bastard Of Orleans","Servant",1
"Bastard Of Orleans","Talbot",3
"Bastard Of Orleans","Watch",1
"Bastard Of Orleans","Soldier",1
"Bastard Of Orleans","Lucy",1
"Bedford","Burgundy",3
"Bedford","Captain",2
"Bedford","Charles",2
"Bedford","Exeter",1
"Bedford","Fastolfe",1
"Bedford","First Sentinel",1
"Bedford","First Soldier",1
"Bedford","Gloucester",1
"Bedford","Joan La Pucelle",2
"Bedford","Messenger",2
"Bedford","Of Winchester",1
"Bedford","Reignier",2
"Bedford","Sentinels",1
"Bedford","Sergeant",1
"Bedford","Talbot",3
"Bedford","Watch",1
"Bedford","Soldier",1
"Boy","Gargrave",1
"Boy","Glansdale",1
"Boy","Mayor",1
"Boy","Messenger",1
"Boy","Salisbury",1
"Boy","Talbot",1
"Burgundy","Captain",2
"Burgundy","Charles",5
"Burgundy","Fastolfe",1
"Burgundy","First Sentinel",1
"Burgundy","First Soldier",1
"Burgundy","Joan La Pucelle",5
"Burgundy","Messenger",1
"Burgundy","Reignier",2
"Burgundy","Scout",1
"Burgundy","Sentinels",1
"Burgundy","Sergeant",1
"Burgundy","Servant",1
"Burgundy","Talbot",4
"Burgundy","Watch",1
"Burgundy","Soldier",1
"Burgundy","Lucy",1
"Captain","Charles",1
"Captain","Fastolfe",1
"Captain","First Soldier",1
"Captain","Joan La Pucelle",1
"Captain","Messenger",2
"Captain","Of Auvergne",1
"Captain","Porter",1
"Captain","Reignier",1
"Captain","Somerset",1
"Captain","Talbot",3
"Captain","Watch",1
"Captain","Lucy",1
"Charles","Fastolfe",1
"Charles","First Sentinel",1
"Charles","First Soldier",1
"Charles","Joan La Pucelle",8
"Charles","Of Winchester",1
"Charles","Reignier",5
"Charles","Scout",1
"Charles","Sentinels",1
"Charles","Sergeant",1
"Charles","Servant",1
"Charles","Shepherd",1
"Charles","Talbot",3
"Charles","Warwick",1
"Charles","Watch",1
"Charles","York",1
