"id","name","n","m","directed"
1,"1",50,290,FALSE
2,"2",50,290,FALSE
3,"3",50,290,FALSE
4,"4",50,290,FALSE
5,"5",50,290,FALSE
6,"6",50,290,FALSE
7,"7",50,290,FALSE
8,"8",50,290,FALSE
9,"9",50,290,FALSE
10,"10",50,290,FALSE
11,"11",50,290,FALSE
12,"12",50,290,FALSE
13,"13",50,290,FALSE
14,"14",50,290,FALSE
15,"15",50,290,FALSE
16,"16",50,290,FALSE
17,"17",50,290,FALSE
18,"18",50,290,FALSE
19,"19",50,290,FALSE
20,"20",50,290,FALSE
21,"21",50,290,FALSE
22,"22",50,290,FALSE
23,"23",50,290,FALSE
24,"24",50,290,FALSE
25,"25",50,290,FALSE
26,"26",50,290,FALSE
27,"27",50,290,FALSE
28,"28",50,290,FALSE
29,"29",50,290,FALSE
30,"30",50,290,FALSE
31,"31",50,290,FALSE
32,"32",50,290,FALSE
33,"33",50,290,FALSE
34,"34",50,290,FALSE
35,"35",50,290,FALSE
36,"36",50,290,FALSE
37,"37",50,290,FALSE
38,"38",50,290,FALSE
39,"39",50,290,FALSE
40,"40",50,290,FALSE
41,"41",50,290,FALSE
42,"42",50,290,FALSE
43,"43",50,290,FALSE
44,"44",50,290,FALSE
45,"45",50,290,FALSE
46,"46",50,290,FALSE
47,"47",50,290,FALSE
48,"48",50,290,FALSE
49,"49",50,290,FALSE
50,"50",50,290,FALSE
