"id","name","n","m","directed"
1,"1",26,161,FALSE
2,"2",26,161,FALSE
3,"3",26,161,FALSE
4,"4",26,161,FALSE
5,"5",26,161,FALSE
6,"6",26,161,FALSE
7,"7",26,161,FALSE
8,"8",26,161,FALSE
9,"9",26,161,FALSE
10,"10",26,161,FALSE
11,"11",26,161,FALSE
12,"12",26,161,FALSE
13,"13",26,161,FALSE
14,"14",26,161,FALSE
15,"15",26,161,FALSE
16,"16",26,161,FALSE
17,"17",26,161,FALSE
18,"18",26,161,FALSE
19,"19",26,161,FALSE
20,"20",26,161,FALSE
21,"21",26,161,FALSE
22,"22",26,161,FALSE
23,"23",26,161,FALSE
24,"24",26,161,FALSE
25,"25",26,161,FALSE
26,"26",26,161,FALSE
