"id","name","n","m","directed"
1,"1",41,188,FALSE
2,"2",41,188,FALSE
3,"3",41,188,FALSE
4,"4",41,188,FALSE
5,"5",41,188,FALSE
6,"6",41,188,FALSE
7,"7",41,188,FALSE
8,"8",41,188,FALSE
9,"9",41,188,FALSE
10,"10",41,188,FALSE
11,"11",41,188,FALSE
12,"12",41,188,FALSE
13,"13",41,188,FALSE
14,"14",41,188,FALSE
15,"15",41,188,FALSE
16,"16",41,188,FALSE
17,"17",41,188,FALSE
18,"18",41,188,FALSE
19,"19",41,188,FALSE
20,"20",41,188,FALSE
21,"21",41,188,FALSE
22,"22",41,188,FALSE
23,"23",41,188,FALSE
24,"24",41,188,FALSE
25,"25",41,188,FALSE
26,"26",41,188,FALSE
27,"27",41,188,FALSE
28,"28",41,188,FALSE
29,"29",41,188,FALSE
30,"30",41,188,FALSE
31,"31",41,188,FALSE
32,"32",41,188,FALSE
33,"33",41,188,FALSE
34,"34",41,188,FALSE
35,"35",41,188,FALSE
36,"36",41,188,FALSE
37,"37",41,188,FALSE
38,"38",41,188,FALSE
39,"39",41,188,FALSE
40,"40",41,188,FALSE
41,"41",41,188,FALSE
