"id","name","n","m","directed"
1,"1",25,110,FALSE
2,"2",25,110,FALSE
3,"3",25,110,FALSE
4,"4",25,110,FALSE
5,"5",25,110,FALSE
6,"6",25,110,FALSE
7,"7",25,110,FALSE
8,"8",25,110,FALSE
9,"9",25,110,FALSE
10,"10",25,110,FALSE
11,"11",25,110,FALSE
12,"12",25,110,FALSE
13,"13",25,110,FALSE
14,"14",25,110,FALSE
15,"15",25,110,FALSE
16,"16",25,110,FALSE
17,"17",25,110,FALSE
18,"18",25,110,FALSE
19,"19",25,110,FALSE
20,"20",25,110,FALSE
21,"21",25,110,FALSE
22,"22",25,110,FALSE
23,"23",25,110,FALSE
24,"24",25,110,FALSE
25,"25",25,110,FALSE
