"from","to","weight"
"All","Bassanio",1
"All","Gratiano",1
"All","Jessica",1
"All","Lorenzo",1
"All","Nerissa",1
"All","Portia",1
"All","Salerio",1
"Antonio","Bassanio",4
"Antonio","Clerk",1
"Antonio","Duke",1
"Antonio","Gratiano",4
"Antonio","Jessica",2
"Antonio","Launcelot",1
"Antonio","Lorenzo",3
"Antonio","Nerissa",3
"Antonio","Portia",3
"Antonio","Salanio",1
"Antonio","Salarino",3
"Antonio","Salerio",1
"Antonio","Servant",1
"Antonio","Shylock",3
"Antonio","Stephano",1
"Arragon","Nerissa",1
"Arragon","Portia",1
"Arragon","Servant",1
"Balthasar","Jessica",1
"Balthasar","Lorenzo",1
"Balthasar","Nerissa",1
"Balthasar","Portia",1
"Bassanio","Clerk",1
"Bassanio","Duke",1
"Bassanio","Gobbo",1
"Bassanio","Gratiano",5
"Bassanio","Jessica",2
"Bassanio","Launcelot",2
"Bassanio","Leonardo",1
"Bassanio","Lorenzo",3
"Bassanio","Nerissa",4
"Bassanio","Portia",4
"Bassanio","Salanio",1
"Bassanio","Salarino",1
"Bassanio","Salerio",2
"Bassanio","Servant",1
"Bassanio","Shylock",2
"Bassanio","Stephano",1
"Clerk","Duke",1
"Clerk","Gratiano",1
"Clerk","Nerissa",1
"Clerk","Portia",1
"Clerk","Salerio",1
"Clerk","Shylock",1
"Duke","Gratiano",1
"Duke","Nerissa",1
"Duke","Portia",1
"Duke","Salerio",1
"Duke","Shylock",1
"Gobbo","Gratiano",1
"Gobbo","Launcelot",1
"Gobbo","Leonardo",1
"Gratiano","Jessica",3
"Gratiano","Launcelot",3
"Gratiano","Leonardo",1
"Gratiano","Lorenzo",5
"Gratiano","Nerissa",5
"Gratiano","Portia",5
"Gratiano","Salanio",2
"Gratiano","Salarino",3
"Gratiano","Salerio",2
"Gratiano","Servant",1
"Gratiano","Shylock",1
"Gratiano","Stephano",1
"Jessica","Launcelot",4
"Jessica","Lorenzo",5
"Jessica","Nerissa",3
"Jessica","Portia",3
"Jessica","Salarino",1
"Jessica","Salerio",1
"Jessica","Shylock",1
"Jessica","Stephano",1
"Launcelot","Leonardo",1
"Launcelot","Lorenzo",3
"Launcelot","Nerissa",1
"Launcelot","Portia",1
"Launcelot","Salanio",1
"Launcelot","Salarino",1
"Launcelot","Shylock",1
"Launcelot","Stephano",1
"Lorenzo","Nerissa",4
"Lorenzo","Portia",4
"Lorenzo","Salanio",2
"Lorenzo","Salarino",3
"Lorenzo","Salerio",1
"Lorenzo","Servant",1
"Lorenzo","Stephano",1
"Morocco","Portia",2
"Nerissa","Portia",7
"Nerissa","Salanio",1
"Nerissa","Salarino",1
"Nerissa","Salerio",2
"Nerissa","Servant",2
"Nerissa","Shylock",1
"Nerissa","Stephano",1
"Portia","Salanio",1
"Portia","Salarino",1
"Portia","Salerio",2
"Portia","Servant",2
"Portia","Shylock",1
"Portia","Stephano",1
"Salanio","Salarino",4
"Salanio","Servant",2
"Salanio","Shylock",1
"Salanio","Tubal",1
"Salarino","Servant",2
"Salarino","Shylock",2
"Salarino","Tubal",1
"Salerio","Shylock",1
"Servant","Shylock",1
"Servant","Tubal",1
"Shylock","Tubal",1
