"id","name","n","m","directed"
1,"1",24,182,FALSE
2,"2",24,182,FALSE
3,"3",24,182,FALSE
4,"4",24,182,FALSE
5,"5",24,182,FALSE
6,"6",24,182,FALSE
7,"7",24,182,FALSE
8,"8",24,182,FALSE
9,"9",24,182,FALSE
10,"10",24,182,FALSE
11,"11",24,182,FALSE
12,"12",24,182,FALSE
13,"13",24,182,FALSE
14,"14",24,182,FALSE
15,"15",24,182,FALSE
16,"16",24,182,FALSE
17,"17",24,182,FALSE
18,"18",24,182,FALSE
19,"19",24,182,FALSE
20,"20",24,182,FALSE
21,"21",24,182,FALSE
22,"22",24,182,FALSE
23,"23",24,182,FALSE
24,"24",24,182,FALSE
