"id","name","n","m","directed"
1,"1",24,140,FALSE
2,"2",24,140,FALSE
3,"3",24,140,FALSE
4,"4",24,140,FALSE
5,"5",24,140,FALSE
6,"6",24,140,FALSE
7,"7",24,140,FALSE
8,"8",24,140,FALSE
9,"9",24,140,FALSE
10,"10",24,140,FALSE
11,"11",24,140,FALSE
12,"12",24,140,FALSE
13,"13",24,140,FALSE
14,"14",24,140,FALSE
15,"15",24,140,FALSE
16,"16",24,140,FALSE
17,"17",24,140,FALSE
18,"18",24,140,FALSE
19,"19",24,140,FALSE
20,"20",24,140,FALSE
21,"21",24,140,FALSE
22,"22",24,140,FALSE
23,"23",24,140,FALSE
24,"24",24,140,FALSE
