"from","to","weight"
"Bagot","Bishop Of Carlisle",1
"Bagot","Bushy",1
"Bagot","Duke Of Aumerle",1
"Bagot","Duke Of Surrey",1
"Bagot","Duke Of York",2
"Bagot","Green",1
"Bagot","Henry Bolingbroke",1
"Bagot","Henry Percy",1
"Bagot","King Richard Ii",1
"Bagot","Lord",1
"Bagot","Lord Fitzwater",1
"Bagot","Northumberland",1
"Bagot","Queen",1
"Bagot","Servant",1
"Bagot","Abbot",1
"Bishop Of Carlisle","Duke Of Aumerle",2
"Bishop Of Carlisle","Duke Of Surrey",1
"Bishop Of Carlisle","Duke Of York",1
"Bishop Of Carlisle","Earl Of Salisbury",1
"Bishop Of Carlisle","Henry Bolingbroke",1
"Bishop Of Carlisle","Henry Percy",1
"Bishop Of Carlisle","King Richard Ii",2
"Bishop Of Carlisle","Lord",1
"Bishop Of Carlisle","Lord Fitzwater",1
"Bishop Of Carlisle","Northumberland",1
"Bishop Of Carlisle","Abbot",1
"Bishop Of Carlisle","Sir Stephen Scroop",1
"Bushy","Duke Of Aumerle",1
"Bushy","Duke Of York",2
"Bushy","Green",3
"Bushy","Henry Bolingbroke",1
"Bushy","King Richard Ii",1
"Bushy","Queen",1
"Bushy","Servant",1
"Bushy","All",1
"Captain","Earl Of Salisbury",1
"Duchess Of York","Duke Of Aumerle",2
"Duchess Of York","Duke Of York",2
"Duchess Of York","Henry Bolingbroke",1
"Duchess Of York","Henry Percy",1
"Duke Of Aumerle","Duke Of Surrey",1
"Duke Of Aumerle","Duke Of York",4
"Duke Of Aumerle","Earl Of Salisbury",1
"Duke Of Aumerle","First Herald",1
"Duke Of Aumerle","Green",1
"Duke Of Aumerle","Henry Bolingbroke",4
"Duke Of Aumerle","Henry Percy",3
"Duke Of Aumerle","John Of Gaunt",1
"Duke Of Aumerle","King Richard Ii",5
"Duke Of Aumerle","Lord",1
"Duke Of Aumerle","Lord Fitzwater",1
"Duke Of Aumerle","Lord Marshal",1
"Duke Of Aumerle","Northumberland",2
"Duke Of Aumerle","Thomas Mowbray",1
"Duke Of Aumerle","Abbot",1
"Duke Of Aumerle","Sir Stephen Scroop",1
"Duke Of Aumerle","All",1
"Duke Of Aumerle","Second Herald",1
"Duke Of Surrey","Duke Of York",1
"Duke Of Surrey","Henry Bolingbroke",1
"Duke Of Surrey","Henry Percy",1
"Duke Of Surrey","King Richard Ii",1
"Duke Of Surrey","Lord",1
"Duke Of Surrey","Lord Fitzwater",1
"Duke Of Surrey","Northumberland",1
"Duke Of Surrey","Abbot",1
"Duke Of York","Green",2
"Duke Of York","Henry Bolingbroke",5
"Duke Of York","Henry Percy",4
