"from","to","weight"
"All","Blunt",1
"All","Catesby",1
"All","Derby",1
"All","Ghost Of Clarence",1
"All","Ghost Of Grey",1
"All","Ghost Of Hastings",1
"All","Ghost Of Lady Anne",1
"All","Ghost Of Rivers",1
"All","Ghost Of Vaughan",1
"All","King Richard Iii",1
"All","Lords",1
"All","Messenger",1
"All","Norfolk",1
"All","Of Buckingham",1
"All","Of King Henry Vi",1
"All","Of Prince Edward",1
"All","Of Young Princes",1
"All","Ratcliff",1
"All","Richmond",1
"All","Surrey",1
"Another","Buckingham",1
"Another","Catesby",1
"Another","Gloucester",1
"Another","Lord Mayor",1
"Another","Citizens",1
"Archbishop Of York","Duchess Of York",1
"Archbishop Of York","Messenger",1
"Archbishop Of York","Queen Elizabeth",1
"Archbishop Of York","York",1
"Bishop Of Ely","Buckingham",1
"Bishop Of Ely","Derby",1
"Bishop Of Ely","Gloucester",1
"Bishop Of Ely","Hastings",1
"Bishop Of Ely","Lovel",1
"Bishop Of Ely","Ratcliff",1
"Blunt","Catesby",1
"Blunt","Derby",1
"Blunt","Ghost Of Clarence",1
"Blunt","Ghost Of Grey",1
"Blunt","Ghost Of Hastings",1
"Blunt","Ghost Of Lady Anne",1
"Blunt","Ghost Of Rivers",1
"Blunt","Ghost Of Vaughan",1
"Blunt","Herbert",1
"Blunt","King Richard Iii",1
"Blunt","Lords",1
"Blunt","Messenger",1
"Blunt","Norfolk",1
"Blunt","Of Buckingham",1
"Blunt","Of King Henry Vi",1
"Blunt","Of Prince Edward",1
"Blunt","Of Young Princes",1
"Blunt","Oxford",1
"Blunt","Ratcliff",1
"Blunt","Richmond",2
"Blunt","Surrey",1
"Boy","Buckingham",1
"Boy","Children",1
"Boy","Dorset",1
"Boy","Duchess Of York",1
"Boy","Girl",1
"Boy","Gloucester",1
"Boy","Hastings",1
"Boy","Queen Elizabeth",1
"Boy","Rivers",1
"Brakenbury","Clarence",2
"Brakenbury","Dorset",1
"Brakenbury","Duchess Of York",1
"Brakenbury","First Murderer",1
"Brakenbury","Gloucester",1
"Brakenbury","Hastings",1
"Brakenbury","Lady Anne",1
"Brakenbury","Lord Stanley",1
"Brakenbury","Queen Elizabeth",1
"Brakenbury","Second Murderer",2
"Brakenbury","Both",1
"Buckingham","Cardinal",1
"Buckingham","Catesby",5
"Buckingham","Children",1
"Buckingham","Derby",2
"Buckingham","Dorset",3
"Buckingham","Duchess Of York",1
"Buckingham","First Murderer",1
"Buckingham","Girl",1
"Buckingham","Gloucester",7
"Buckingham","Grey",1
"Buckingham","Hastings",6
"Buckingham","King Edward Iv",1
"Buckingham","King Richard Iii",1
"Buckingham","Lord Mayor",3
"Buckingham","Lord Stanley",1
"Buckingham","Lovel",2
"Buckingham","Messenger",1
"Buckingham","Page",1
"Buckingham","Priest",1
"Buckingham","Prince Edward",1
"Buckingham","Pursuivant",1
"Buckingham","Queen Elizabeth",3
"Buckingham","Queen Margaret",1
"Buckingham","Ratcliff",1
"Buckingham","Rivers",3
"Buckingham","Stanley",2
"Buckingham","Tyrrel",1
"Buckingham","York",1
"Buckingham","Citizens",1
"Buckingham","Sheriff",1
"Cardinal","Catesby",1
"Cardinal","Gloucester",1
"Cardinal","Hastings",1
"Cardinal","Lord Mayor",1
"Cardinal","Prince Edward",1
"Cardinal","York",1
"Catesby","Derby",2
"Catesby","Dorset",1
"Catesby","Duchess Of York",1
"Catesby","First Murderer",1
"Catesby","Ghost Of Clarence",1
"Catesby","Ghost Of Grey",1
"Catesby","Ghost Of Hastings",1
"Catesby","Ghost Of Lady Anne",1
"Catesby","Ghost Of Rivers",1
"Catesby","Ghost Of Vaughan",1
"Catesby","Gloucester",3
"Catesby","Grey",1
"Catesby","Hastings",3
"Catesby","King Richard Iii",5
"Catesby","Lord Mayor",2
"Catesby","Lord Stanley",1
"Catesby","Lords",1
"Catesby","Messenger",3
"Catesby","Norfolk",1
"Catesby","Of Buckingham",1
"Catesby","Of King Henry Vi",1
"Catesby","Of Prince Edward",1
"Catesby","Of Young Princes",1
"Catesby","Page",1
"Catesby","Priest",1
"Catesby","Prince Edward",1
"Catesby","Pursuivant",1
"Catesby","Queen Elizabeth",2
"Catesby","Queen Margaret",2
"Catesby","Ratcliff",2
"Catesby","Richmond",1
"Catesby","Rivers",1
"Catesby","Second Messenger",1
"Catesby","Stanley",3
"Catesby","Surrey",1
"Catesby","Third Messenger",1
"Catesby","Tyrrel",2
"Catesby","York",1
"Catesby","Citizens",1
"Catesby","Fourth Messenger",1
"Children","Dorset",1
"Children","Duchess Of York",1
"Children","Girl",1
"Children","Gloucester",1
"Children","Hastings",1
"Children","Queen Elizabeth",1
"Children","Rivers",1
"Clarence","First Murderer",1
"Clarence","Gloucester",1
"Clarence","Hastings",1
"Clarence","Second Murderer",2
"Clarence","Both",1
"Derby","Dorset",1
"Derby","First Murderer",1
"Derby","Ghost Of Clarence",1
"Derby","Ghost Of Grey",1
"Derby","Ghost Of Hastings",1
"Derby","Ghost Of Lady Anne",1
"Derby","Ghost Of Rivers",1
"Derby","Ghost Of Vaughan",1
"Derby","Gloucester",2
"Derby","Grey",1
"Derby","Hastings",2
"Derby","King Richard Iii",1
"Derby","Lords",1
"Derby","Lovel",1
"Derby","Messenger",1
"Derby","Norfolk",1
"Derby","Of Buckingham",1
"Derby","Of King Henry Vi",1
"Derby","Of Prince Edward",1
"Derby","Of Young Princes",1
"Derby","Queen Elizabeth",1
"Derby","Queen Margaret",1
"Derby","Ratcliff",2
"Derby","Richmond",2
"Derby","Rivers",1
"Derby","Surrey",1
"Derby","Christopher",1
"Dorset","Duchess Of York",2
"Dorset","First Murderer",1
"Dorset","Girl",1
"Dorset","Gloucester",3
"Dorset","Grey",1
"Dorset","Hastings",3
"Dorset","King Edward Iv",1
"Dorset","Lady Anne",1
"Dorset","Lord Stanley",1
"Dorset","Queen Elizabeth",4
"Dorset","Queen Margaret",1
"Dorset","Rivers",3
"Duchess Of York","Girl",1
