"from","to","weight"
"Abraham","Benvolio",1
"Abraham","Capulet",1
"Abraham","First Citizen",1
"Abraham","Gregory",1
"Abraham","Lady Capulet",1
"Abraham","Lady Montague",1
"Abraham","Montague",1
"Abraham","Prince",1
"Abraham","Romeo",1
"Abraham","Sampson",1
"Abraham","Tybalt",1
"Balthasar","Capulet",1
"Balthasar","First Watchman",1
"Balthasar","Friar Laurence",1
"Balthasar","Juliet",1
"Balthasar","Lady Capulet",1
"Balthasar","Montague",1
"Balthasar","Page",1
"Balthasar","Paris",1
"Balthasar","Prince",1
"Balthasar","Romeo",2
"Balthasar","Second Watchman",1
"Balthasar","Third Watchman",1
"Balthasar","Apothecary",1
"Benvolio","Capulet",3
"Benvolio","First Citizen",2
"Benvolio","First Servant",1
"Benvolio","Gregory",1
"Benvolio","Juliet",1
"Benvolio","Lady Capulet",2
"Benvolio","Lady Montague",1
"Benvolio","Mercutio",4
"Benvolio","Montague",2
"Benvolio","Nurse",3
"Benvolio","Paris",1
"Benvolio","Peter",1
"Benvolio","Prince",2
"Benvolio","Romeo",7
"Benvolio","Sampson",1
"Benvolio","Second Capulet",1
"Benvolio","Second Servant",1
"Benvolio","Servant",2
"Benvolio","Tybalt",3
"Capulet","First Citizen",1
"Capulet","First Musician",1
"Capulet","First Servant",2
"Capulet","First Watchman",1
"Capulet","Friar Laurence",2
"Capulet","Gregory",1
"Capulet","Juliet",4
"Capulet","Lady Capulet",7
"Capulet","Lady Montague",1
"Capulet","Montague",2
"Capulet","Musician",1
"Capulet","Nurse",5
"Capulet","Page",1
"Capulet","Paris",4
"Capulet","Peter",1
"Capulet","Prince",2
"Capulet","Romeo",5
"Capulet","Sampson",1
"Capulet","Second Capulet",1
"Capulet","Second Musician",1
"Capulet","Second Servant",3
"Capulet","Second Watchman",1
"Capulet","Servant",2
"Capulet","Third Watchman",1
"Capulet","Tybalt",2
"Capulet","Lady  Capulet",1
"Capulet","Third Musician",1
"First Citizen","Gregory",1
"First Citizen","Lady Capulet",2
"First Citizen","Lady Montague",1
"First Citizen","Mercutio",1
"First Citizen","Montague",2
"First Citizen","Prince",2
"First Citizen","Romeo",2
"First Citizen","Sampson",1
"First Citizen","Tybalt",2
"First Musician","Friar Laurence",1
"First Musician","Lady Capulet",1
"First Musician","Musician",1
"First Musician","Nurse",1
"First Musician","Paris",1
"First Musician","Peter",1
"First Musician","Second Musician",1
"First Musician","Third Musician",1
"First Servant","Juliet",1
"First Servant","Lady Capulet",1
"First Servant","Nurse",2
"First Servant","Romeo",1
"First Servant","Second Capulet",1
"First Servant","Second Servant",2
"First Servant","Servant",1
"First Servant","Tybalt",1
"First Watchman","Friar Laurence",1
"First Watchman","Juliet",1
"First Watchman","Lady Capulet",1
"First Watchman","Montague",1
"First Watchman","Page",1
"First Watchman","Paris",1
"First Watchman","Prince",1
"First Watchman","Romeo",1
"First Watchman","Second Watchman",1
"First Watchman","Third Watchman",1
"Friar John","Friar Laurence",1
"Friar Laurence","Juliet",3
"Friar Laurence","Lady Capulet",2
"Friar Laurence","Montague",1
"Friar Laurence","Musician",1
"Friar Laurence","Nurse",2
"Friar Laurence","Page",1
"Friar Laurence","Paris",3
"Friar Laurence","Peter",1
"Friar Laurence","Prince",1
"Friar Laurence","Romeo",4
"Friar Laurence","Second Musician",1
"Friar Laurence","Second Watchman",1
"Friar Laurence","Third Watchman",1
"Friar Laurence","Third Musician",1
"Gregory","Lady Capulet",1
"Gregory","Lady Montague",1
"Gregory","Montague",1
"Gregory","Prince",1
"Gregory","Romeo",1
"Gregory","Sampson",1
"Gregory","Tybalt",1
"Juliet","Lady Capulet",5
"Juliet","Montague",1
"Juliet","Nurse",7
"Juliet","Page",1
"Juliet","Paris",2
"Juliet","Prince",1
"Juliet","Romeo",5
"Juliet","Second Capulet",1
"Juliet","Second Servant",2
"Juliet","Second Watchman",1
"Juliet","Servant",2
"Juliet","Third Watchman",1
"Juliet","Tybalt",1
"Juliet","Lady  Capulet",1
"Lady Capulet","Lady Montague",1
"Lady Capulet","Mercutio",1
"Lady Capulet","Montague",3
"Lady Capulet","Musician",1
"Lady Capulet","Nurse",5
"Lady Capulet","Page",1
"Lady Capulet","Paris",3
"Lady Capulet","Peter",1
"Lady Capulet","Prince",3
"Lady Capulet","Romeo",4
"Lady Capulet","Sampson",1
"Lady Capulet","Second Musician",1
"Lady Capulet","Second Servant",2
"Lady Capulet","Second Watchman",1
"Lady Capulet","Servant",1
"Lady Capulet","Third Watchman",1
