"id","name","n","m","directed"
1,"1",37,226,FALSE
2,"2",37,226,FALSE
3,"3",37,226,FALSE
4,"4",37,226,FALSE
5,"5",37,226,FALSE
6,"6",37,226,FALSE
7,"7",37,226,FALSE
8,"8",37,226,FALSE
9,"9",37,226,FALSE
10,"10",37,226,FALSE
11,"11",37,226,FALSE
12,"12",37,226,FALSE
13,"13",37,226,FALSE
14,"14",37,226,FALSE
15,"15",37,226,FALSE
16,"16",37,226,FALSE
17,"17",37,226,FALSE
18,"18",37,226,FALSE
19,"19",37,226,FALSE
20,"20",37,226,FALSE
21,"21",37,226,FALSE
22,"22",37,226,FALSE
23,"23",37,226,FALSE
24,"24",37,226,FALSE
25,"25",37,226,FALSE
26,"26",37,226,FALSE
27,"27",37,226,FALSE
28,"28",37,226,FALSE
29,"29",37,226,FALSE
30,"30",37,226,FALSE
31,"31",37,226,FALSE
32,"32",37,226,FALSE
33,"33",37,226,FALSE
34,"34",37,226,FALSE
35,"35",37,226,FALSE
36,"36",37,226,FALSE
37,"37",37,226,FALSE
