"from","to","weight"
"Adrian","Alonso",2
"Adrian","Antonio",2
"Adrian","Ariel",2
"Adrian","Francisco",2
"Adrian","Gonzalo",2
"Adrian","Prospero",1
"Adrian","Sebastian",2
"Alonso","Antonio",4
"Alonso","Ariel",3
"Alonso","Boatswain",2
"Alonso","Caliban",1
"Alonso","Ferdinand",1
"Alonso","Francisco",2
"Alonso","Gonzalo",4
"Alonso","Lucentio",1
"Alonso","Master",1
"Alonso","Miranda",1
"Alonso","Prospero",2
"Alonso","Sebastian",4
"Alonso","Stephano",1
"Alonso","Trinculo",1
"Alonso","Mariners",1
"Antonio","Ariel",3
"Antonio","Boatswain",2
"Antonio","Caliban",1
"Antonio","Ferdinand",1
"Antonio","Francisco",2
"Antonio","Gonzalo",4
"Antonio","Lucentio",1
"Antonio","Master",1
"Antonio","Miranda",1
"Antonio","Prospero",2
"Antonio","Sebastian",4
"Antonio","Stephano",1
"Antonio","Trinculo",1
"Antonio","Mariners",1
"Ariel","Boatswain",1
"Ariel","Caliban",4
"Ariel","Ceres",1
"Ariel","Ferdinand",3
"Ariel","Francisco",2
"Ariel","Gonzalo",3
"Ariel","Iris",1
"Ariel","Juno",1
"Ariel","Miranda",3
"Ariel","Prospero",4
"Ariel","Sebastian",3
"Ariel","Stephano",3
"Ariel","Trinculo",3
"Boatswain","Caliban",1
"Boatswain","Ferdinand",1
"Boatswain","Gonzalo",2
"Boatswain","Lucentio",1
"Boatswain","Master",1
"Boatswain","Miranda",1
"Boatswain","Prospero",1
"Boatswain","Sebastian",2
"Boatswain","Stephano",1
"Boatswain","Trinculo",1
"Boatswain","Mariners",1
"Caliban","Ceres",1
"Caliban","Ferdinand",3
"Caliban","Gonzalo",1
"Caliban","Iris",1
"Caliban","Juno",1
"Caliban","Miranda",3
"Caliban","Prospero",3
"Caliban","Sebastian",1
"Caliban","Stephano",4
"Caliban","Trinculo",4
"Ceres","Ferdinand",1
"Ceres","Iris",1
"Ceres","Juno",1
"Ceres","Miranda",1
"Ceres","Prospero",1
"Ceres","Stephano",1
"Ceres","Trinculo",1
"Ferdinand","Gonzalo",1
"Ferdinand","Iris",1
"Ferdinand","Juno",1
"Ferdinand","Miranda",4
"Ferdinand","Prospero",4
"Ferdinand","Sebastian",1
"Ferdinand","Stephano",2
"Ferdinand","Trinculo",2
"Francisco","Gonzalo",2
"Francisco","Prospero",1
"Francisco","Sebastian",2
"Gonzalo","Lucentio",1
"Gonzalo","Master",1
"Gonzalo","Miranda",1
"Gonzalo","Prospero",2
"Gonzalo","Sebastian",4
"Gonzalo","Stephano",1
"Gonzalo","Trinculo",1
"Gonzalo","Mariners",1
"Iris","Juno",1
"Iris","Miranda",1
"Iris","Prospero",1
"Iris","Stephano",1
"Iris","Trinculo",1
"Juno","Miranda",1
"Juno","Prospero",1
"Juno","Stephano",1
"Juno","Trinculo",1
"Lucentio","Master",1
"Lucentio","Sebastian",1
"Lucentio","Mariners",1
"Master","Sebastian",1
"Master","Mariners",1
"Miranda","Prospero",4
"Miranda","Sebastian",1
"Miranda","Stephano",2
"Miranda","Trinculo",2
"Prospero","Sebastian",2
"Prospero","Stephano",2
"Prospero","Trinculo",2
"Sebastian","Stephano",1
"Sebastian","Trinculo",1
"Sebastian","Mariners",1
"Stephano","Trinculo",4
