"id","name","n","m","directed"
1,"1",55,352,FALSE
2,"2",55,352,FALSE
3,"3",55,352,FALSE
4,"4",55,352,FALSE
5,"5",55,352,FALSE
6,"6",55,352,FALSE
7,"7",55,352,FALSE
8,"8",55,352,FALSE
9,"9",55,352,FALSE
10,"10",55,352,FALSE
11,"11",55,352,FALSE
12,"12",55,352,FALSE
13,"13",55,352,FALSE
14,"14",55,352,FALSE
15,"15",55,352,FALSE
16,"16",55,352,FALSE
17,"17",55,352,FALSE
18,"18",55,352,FALSE
19,"19",55,352,FALSE
20,"20",55,352,FALSE
21,"21",55,352,FALSE
22,"22",55,352,FALSE
23,"23",55,352,FALSE
24,"24",55,352,FALSE
25,"25",55,352,FALSE
26,"26",55,352,FALSE
27,"27",55,352,FALSE
28,"28",55,352,FALSE
29,"29",55,352,FALSE
30,"30",55,352,FALSE
31,"31",55,352,FALSE
32,"32",55,352,FALSE
33,"33",55,352,FALSE
34,"34",55,352,FALSE
35,"35",55,352,FALSE
36,"36",55,352,FALSE
37,"37",55,352,FALSE
38,"38",55,352,FALSE
39,"39",55,352,FALSE
40,"40",55,352,FALSE
41,"41",55,352,FALSE
42,"42",55,352,FALSE
43,"43",55,352,FALSE
44,"44",55,352,FALSE
45,"45",55,352,FALSE
46,"46",55,352,FALSE
47,"47",55,352,FALSE
48,"48",55,352,FALSE
49,"49",55,352,FALSE
50,"50",55,352,FALSE
51,"51",55,352,FALSE
52,"52",55,352,FALSE
53,"53",55,352,FALSE
54,"54",55,352,FALSE
55,"55",55,352,FALSE
