"from","to","weight"
"Achilles","Aeneas",1
"Achilles","Agamemnon",5
"Achilles","Ajax",7
"Achilles","All",1
"Achilles","Calchas",1
"Achilles","Cressida",1
"Achilles","Diomedes",6
"Achilles","Hector",4
"Achilles","Menelaus",3
"Achilles","Nestor",4
"Achilles","Patroclus",5
"Achilles","Servant",1
"Achilles","Thersites",5
"Achilles","Troilus",3
"Achilles","Ulysses",5
"Achilles","Margarelon",1
"Achilles","Myrmidons",1
"Aeneas","Agamemnon",2
"Aeneas","Ajax",1
"Aeneas","All",2
"Aeneas","Calchas",1
"Aeneas","Cressida",4
"Aeneas","Deiphobus",2
"Aeneas","Diomedes",4
"Aeneas","Hector",1
"Aeneas","Menelaus",2
"Aeneas","Nestor",2
"Aeneas","Pandarus",4
"Aeneas","Paris",2
"Aeneas","Patroclus",1
"Aeneas","Thersites",1
"Aeneas","Troilus",6
"Aeneas","Ulysses",3
"Agamemnon","Ajax",6
"Agamemnon","All",1
"Agamemnon","Calchas",1
"Agamemnon","Cressida",1
"Agamemnon","Diomedes",6
"Agamemnon","Hector",2
"Agamemnon","Menelaus",4
"Agamemnon","Nestor",6
"Agamemnon","Patroclus",4
"Agamemnon","Servant",1
"Agamemnon","Thersites",3
"Agamemnon","Troilus",2
"Agamemnon","Ulysses",6
"Ajax","All",1
"Ajax","Calchas",1
"Ajax","Cressida",1
"Ajax","Diomedes",7
"Ajax","Hector",3
"Ajax","Menelaus",3
"Ajax","Nestor",5
"Ajax","Patroclus",5
"Ajax","Servant",1
"Ajax","Thersites",4
"Ajax","Troilus",3
"Ajax","Ulysses",5
"Alexander","Boy",1
"Alexander","Cressida",1
"Alexander","Pandarus",1
"All","Cressida",1
"All","Diomedes",1
"All","Hector",1
"All","Menelaus",1
"All","Nestor",1
"All","Pandarus",1
"All","Patroclus",1
"All","Troilus",2
"All","Ulysses",1
"Andromache","Cassandra",1
"Andromache","Hector",1
"Andromache","Pandarus",1
"Andromache","Priam",1
"Andromache","Troilus",1
"Boy","Cressida",2
"Boy","Pandarus",2
"Boy","Troilus",1
"Calchas","Cressida",1
"Calchas","Diomedes",2
"Calchas","Menelaus",1
"Calchas","Nestor",1
"Calchas","Patroclus",1
"Calchas","Thersites",2
"Calchas","Troilus",1
"Calchas","Ulysses",2
"Cassandra","Hector",2
"Cassandra","Helenus",1
"Cassandra","Pandarus",1
"Cassandra","Paris",1
"Cassandra","Priam",2
"Cassandra","Troilus",2
"Cressida","Deiphobus",1
"Cressida","Diomedes",3
"Cressida","Hector",1
"Cressida","Menelaus",1
"Cressida","Nestor",1
"Cressida","Pandarus",4
"Cressida","Paris",1
"Cressida","Patroclus",1
"Cressida","Thersites",1
"Cressida","Troilus",5
"Cressida","Ulysses",2
"Deiphobus","Diomedes",2
"Deiphobus","Pandarus",1
"Deiphobus","Paris",2
"Deiphobus","Troilus",1
"Diomedes","Hector",4
"Diomedes","Menelaus",3
"Diomedes","Nestor",5
"Diomedes","Pandarus",1
"Diomedes","Paris",2
"Diomedes","Patroclus",4
"Diomedes","Servant",1
"Diomedes","Thersites",5
"Diomedes","Troilus",6
"Diomedes","Ulysses",6
"Hector","Helenus",1
"Hector","Menelaus",2
"Hector","Nestor",1
"Hector","Pandarus",1
"Hector","Paris",1
"Hector","Patroclus",2
"Hector","Priam",2
"Hector","Thersites",2
"Hector","Troilus",6
"Hector","Ulysses",2
"Hector","Myrmidons",1
"Helen","Pandarus",1
"Helen","Paris",1
"Helen","Servant",1
"Helenus","Paris",1
"Helenus","Priam",1
"Helenus","Troilus",1
"Menelaus","Nestor",3
"Menelaus","Patroclus",3
"Menelaus","Thersites",2
"Menelaus","Troilus",2
"Menelaus","Ulysses",4
"Nestor","Patroclus",3
"Nestor","Servant",1
"Nestor","Thersites",2
"Nestor","Troilus",1
"Nestor","Ulysses",5
"Pandarus","Paris",2
"Pandarus","Priam",1
"Pandarus","Servant",1
"Pandarus","Troilus",6
"Paris","Priam",1
"Paris","Servant",1
"Paris","Troilus",3
"Patroclus","Thersites",4
"Patroclus","Troilus",2
"Patroclus","Ulysses",4
"Priam","Troilus",2
"Servant","Ulysses",1
"Thersites","Troilus",3
"Thersites","Ulysses",4
"Thersites","Margarelon",1
"Troilus","Ulysses",3
