"id","name","n","m","directed"
1,"1",28,160,FALSE
2,"2",28,160,FALSE
3,"3",28,160,FALSE
4,"4",28,160,FALSE
5,"5",28,160,FALSE
6,"6",28,160,FALSE
7,"7",28,160,FALSE
8,"8",28,160,FALSE
9,"9",28,160,FALSE
10,"10",28,160,FALSE
11,"11",28,160,FALSE
12,"12",28,160,FALSE
13,"13",28,160,FALSE
14,"14",28,160,FALSE
15,"15",28,160,FALSE
16,"16",28,160,FALSE
17,"17",28,160,FALSE
18,"18",28,160,FALSE
19,"19",28,160,FALSE
20,"20",28,160,FALSE
21,"21",28,160,FALSE
22,"22",28,160,FALSE
23,"23",28,160,FALSE
24,"24",28,160,FALSE
25,"25",28,160,FALSE
26,"26",28,160,FALSE
27,"27",28,160,FALSE
28,"28",28,160,FALSE
