"from","to"
"Arizona Robbins","Leah Murphy"
"Alex Karev","Leah Murphy"
"Arizona Robbins","Lauren Boswell"
"Arizona Robbins","Callie Torres"
"Erica Hahn","Callie Torres"
"Alex Karev","Callie Torres"
"Mark Sloan","Callie Torres"
"George O'Malley","Callie Torres"
"Izzie Stevens","George O'Malley"
"Meredith Grey","George O'Malley"
"Denny Duqutte","Izzie Stevens"
"Izzie Stevens","Alex Karev"
"Derek Sheperd","Meredith Grey"
"Preston Burke","Cristina Yang"
"Cristina Yang","Shane Ross"
"Derek Sheperd","Rose"
"Addison Montgomery","Derek Sheperd"
"Owen Hunt","Cristina Yang"
"Amelia Shepherd","Owen Hunt"
"Amelia Shepherd","Mark Sloan"
"Addison Montgomery","Mark Sloan"
"Jackson Avery","Stephanie Edwards"
"Jackson Avery","April Kepner"
"Jackson Avery","Lexie Grey"
"Reed Adamson","Mark Sloan"
"Lexie Grey","Mark Sloan"
"Teddy Altman","Mark Sloan"
"Alex Karev","Lexie Grey"
"Alex Karev","Heather Brooks"
"Alex Karev","Jo Wilson"
"Teddy Altman","Henry Burton"
"Owen Hunt","Emma"
"Addison Montgomery","Alex Karev"
"Rebecca Pope","Alex Karev"
"Alex Karev","Lucy Fields"
"Nurse Olivia","George O'Malley"
"Alex Karev","Nurse Olivia"
"Hank","Izzie Stevens"
"Teddy Altman","Andrew Perkins"
"Nancy Shepard","Mark Sloan"
"Meredith Grey","Nathan Riggs"
"Miranda Bailey","Ben Warren"
"Miranda Bailey","Eli James"
"Miranda Bailey","Tucker Jones"
"Ellis Grey","Richard Webber"
"Ellis Grey","Thatcher Grey"
"Catherine Avery","Richard Webber"
"Susan Grey","Thatcher Grey"
"Adele Webber","Richard Webber"
"Megan Nowland","Steve Mostow"
"Megan Nowland","Pierce Halley"
"Meredith Grey","Steve Murphy"
"Finn Dandridge","Meredith Grey"
"Teddy Altman","Owen Hunt"
"Miranda Bailey","Lloyd"
"Colin Marlow","Cristina Yang"
"Alex Karev","Dana Seabury"
