"id","name","sex","race","birthyear","position","season","sign","n","m","directed"
1,"1","F","White",1967,"Attending",1,"Libra",54,57,FALSE
2,"2","F","Black",1949,"Non-Staff",2,"Leo",54,57,FALSE
3,"3","F","White",1969,"Attending",6,"Pisces",54,57,FALSE
4,"4","F","White",1981,"Attending",7,"Libra",54,57,FALSE
5,"5","F","White",1976,"Attending",5,"Leo",54,57,FALSE
6,"6","F","White",1975,"Non-Staff",3,"Gemini",54,57,FALSE
7,"7","M","Black",1981,"Resident",6,"Leo",54,57,FALSE
8,"8","F","Black",1969,"Attending",1,"Virgo",54,57,FALSE
9,"9","M","Black",1972,"Other",6,"Aquarius",54,57,FALSE
10,"10","M","White",1972,"Non-Staff",7,"Cancer",54,57,FALSE
11,"11","F","Other",1950,"Attending",8,"Capricorn",54,57,FALSE
12,"12","M","White",1944,"Attending",3,"Taurus",54,57,FALSE
13,"13","M","White",1966,"Non-Staff",2,"Taurus",54,57,FALSE
14,"14","M","White",1966,"Attending",1,"Capricorn",54,57,FALSE
15,"15","F","White",1957,"Attending",1,"Virgo",54,57,FALSE
16,"16","M","White",1970,"Non-Staff",2,"Cancer",54,57,FALSE
17,"17","F","White",1969,"Resident",1,"Scorpio",54,57,FALSE
18,"18","F","White",1967,"Attending",2,"Gemini",54,57,FALSE
19,"19","M","White",1975,"Non-Staff",1,"Sagittarius",54,57,FALSE
20,"20","F","White",1978,"Resident",1,"Sagittarius",54,57,FALSE
21,"21","M","White",1970,"Resident",1,"Cancer",54,57,FALSE
22,"22","F","White",1980,"Resident",6,"Libra",54,57,FALSE
23,"23","F","White",1982,"Resident",3,"Aries",54,57,FALSE
24,"24","M","Black",1971,"Nurse",7,"Capricorn",54,57,FALSE
25,"25","F","White",1984,"Attending",7,"Cancer",54,57,FALSE
26,"26","F","White",1979,"Intern",4,NA,54,57,FALSE
27,"27","M","White",1985,"Intern",4,"Gemini",54,57,FALSE
28,"28","F","White",1952,"Non-Staff",3,"Leo",54,57,FALSE
29,"29","F","White",1965,"Non-Staff",3,"Leo",54,57,FALSE
30,"30","F","White",1982,"Nurse",1,"Capricorn",54,57,FALSE
31,"31","M","White",1973,"Resident",1,"Aries",54,57,FALSE
32,"32","M","White",1973,"Chief",5,"Leo",54,57,FALSE
33,"33","M","White",1965,"Other",7,"Leo",54,57,FALSE
34,"34","M","White",1986,"Intern",4,NA,54,57,FALSE
35,"35","M","Black",1963,"Attending",1,"Leo",54,57,FALSE
36,"36","F","White",1981,"Resident",6,"Aquarius",54,57,FALSE
37,"37","M","White",1972,"Attending",2,"Scorpio",54,57,FALSE
38,"38","M","Other",1984,"Non-Staff",2,"Gemini",54,57,FALSE
39,"39","F","White",1959,"Non-Staff",2,"Taurus",54,57,FALSE
40,"40","M","White",1955,"Non-Staff",2,"Leo",54,57,FALSE
41,"41","F","Other",1975,"Attending",2,"Virgo",54,57,FALSE
42,"42","M","Black",1970,"Non-Staff",2,"Leo",54,57,FALSE
43,"43","F","Other",1971,"Resident",1,"Cancer",54,57,FALSE
44,"44","F","White",1985,"",9,"",54,57,FALSE
45,"45","F","White",1983,"Resident",9,"",54,57,FALSE
46,"46","F","White",NA,"",9,"",54,57,FALSE
47,"47","F","White",1987,"",9,"",54,57,FALSE
48,"48","","",NA,"",NA,"",54,57,FALSE
49,"49","F","",NA,"",NA,"",54,57,FALSE
50,"50","F","",NA,"",NA,"",54,57,FALSE
51,"51","","",NA,"",NA,"",54,57,FALSE
52,"52","M","",NA,"",NA,"",54,57,FALSE
53,"53","F","",NA,"",NA,"",54,57,FALSE
54,"54","M","",NA,"",NA,"",54,57,FALSE
