"from","to","time"
"1","14",1
"1","15",1
"1","21",1
"1","54",1
"1","55",1
"2","21",1
"2","22",1
"3","9",1
"3","15",1
"4","5",1
"4","18",1
"4","19",1
"4","43",1
"5","19",1
"5","43",1
"6","13",1
"6","20",1
"6","22",1
"7","17",1
"8","14",1
"8","17",1
"9","12",1
"9","20",1
"9","21",1
"9","22",1
"9","51",1
"11","19",1
"11","50",1
"11","52",1
"11","53",1
"12","20",1
"12","21",1
"12","22",1
"13","17",1
"13","20",1
"13","21",1
"13","22",1
"14","21",1
"14","22",1
"15","20",1
"16","18",1
"16","41",1
"16","43",1
"17","7",1
"17","8",1
"18","11",1
"18","16",1
"18","19",1
"19","4",1
"19","11",1
"19","16",1
"19","18",1
"19","27",1
"20","6",1
"20","12",1
"20","21",1
"20","22",1
"20","38",1
"21","22",1
"21","51",1
"21","54",1
"21","55",1
"22","20",1
"22","21",1
"22","38",1
"22","51",1
"23","40",1
"23","43",1
"23","50",1
"23","52",1
"23","53",1
"23","60",1
"23","62",1
"23","65",1
"23","68",1
"24","51",1
"26","32",1
"26","35",1
"26","36",1
"26","40",1
"26","41",1
"26","42",1
"27","18",1
"27","37",1
"27","40",1
"28","38",1
"28","39",1
"29","13",1
"29","38",1
"30","35",1
"30","48",1
"31","10",1
"31","37",1
"31","40",1
"32","26",1
"32","33",1
"32","43",1
"32","62",1
"33","36",1
"33","41",1
"33","42",1
"33","43",1
"34","39",1
"34","46",1
"35","30",1
"35","48",1
"36","32",1
"36","33",1
"36","42",1
"36","43",1
"37","31",1
"37","40",1
"38","21",1
"38","22",1
"38","51",1
"38","55",1
"39","28",1
"39","29",1
"39","34",1
"39","46",1
"39","59",1
"40","35",1
"40","37",1
"41","16",1
"41","42",1
"41","43",1
"41","68",1
"42","36",1
"42","41",1
"42","43",1
"42","68",1
"43","41",1
"43","42",1
"43","68",1
"44","47",1
"45","49",1
"45","54",1
"45","55",1
"45","57",1
"45","70",1
"46","34",1
"46","39",1
"46","54",1
"46","59",1
"47","44",1
"47","48",1
"47","52",1
"47","53",1
"48","30",1
"48","50",1
"48","52",1
"48","53",1
