"id","name","n","m","directed"
1,"1",70,506,TRUE
2,"2",70,506,TRUE
3,"3",70,506,TRUE
4,"4",70,506,TRUE
5,"5",70,506,TRUE
6,"6",70,506,TRUE
7,"7",70,506,TRUE
8,"8",70,506,TRUE
9,"9",70,506,TRUE
10,"10",70,506,TRUE
11,"11",70,506,TRUE
12,"12",70,506,TRUE
13,"13",70,506,TRUE
14,"14",70,506,TRUE
15,"15",70,506,TRUE
16,"16",70,506,TRUE
17,"17",70,506,TRUE
18,"18",70,506,TRUE
19,"19",70,506,TRUE
20,"20",70,506,TRUE
21,"21",70,506,TRUE
22,"22",70,506,TRUE
23,"23",70,506,TRUE
24,"24",70,506,TRUE
25,"25",70,506,TRUE
26,"26",70,506,TRUE
27,"27",70,506,TRUE
28,"28",70,506,TRUE
29,"29",70,506,TRUE
30,"30",70,506,TRUE
31,"31",70,506,TRUE
32,"32",70,506,TRUE
33,"33",70,506,TRUE
34,"34",70,506,TRUE
35,"35",70,506,TRUE
36,"36",70,506,TRUE
37,"37",70,506,TRUE
38,"38",70,506,TRUE
39,"39",70,506,TRUE
40,"40",70,506,TRUE
41,"41",70,506,TRUE
42,"42",70,506,TRUE
43,"43",70,506,TRUE
44,"44",70,506,TRUE
45,"45",70,506,TRUE
46,"46",70,506,TRUE
47,"47",70,506,TRUE
48,"48",70,506,TRUE
49,"49",70,506,TRUE
50,"50",70,506,TRUE
51,"51",70,506,TRUE
52,"52",70,506,TRUE
53,"53",70,506,TRUE
54,"54",70,506,TRUE
55,"55",70,506,TRUE
56,"56",70,506,TRUE
57,"57",70,506,TRUE
58,"58",70,506,TRUE
59,"59",70,506,TRUE
60,"60",70,506,TRUE
61,"61",70,506,TRUE
62,"62",70,506,TRUE
63,"63",70,506,TRUE
64,"64",70,506,TRUE
65,"65",70,506,TRUE
66,"66",70,506,TRUE
67,"67",70,506,TRUE
68,"68",70,506,TRUE
69,"69",70,506,TRUE
70,"70",70,506,TRUE
