"id","name","n","m","directed"
1,"1",77,254,FALSE
2,"2",77,254,FALSE
3,"3",77,254,FALSE
4,"4",77,254,FALSE
5,"5",77,254,FALSE
6,"6",77,254,FALSE
7,"7",77,254,FALSE
8,"8",77,254,FALSE
9,"9",77,254,FALSE
10,"10",77,254,FALSE
11,"11",77,254,FALSE
12,"12",77,254,FALSE
13,"13",77,254,FALSE
14,"14",77,254,FALSE
15,"15",77,254,FALSE
16,"16",77,254,FALSE
17,"17",77,254,FALSE
18,"18",77,254,FALSE
19,"19",77,254,FALSE
20,"20",77,254,FALSE
21,"21",77,254,FALSE
22,"22",77,254,FALSE
23,"23",77,254,FALSE
24,"24",77,254,FALSE
25,"25",77,254,FALSE
26,"26",77,254,FALSE
27,"27",77,254,FALSE
28,"28",77,254,FALSE
29,"29",77,254,FALSE
30,"30",77,254,FALSE
31,"31",77,254,FALSE
32,"32",77,254,FALSE
33,"33",77,254,FALSE
34,"34",77,254,FALSE
35,"35",77,254,FALSE
36,"36",77,254,FALSE
37,"37",77,254,FALSE
38,"38",77,254,FALSE
39,"39",77,254,FALSE
40,"40",77,254,FALSE
41,"41",77,254,FALSE
42,"42",77,254,FALSE
43,"43",77,254,FALSE
44,"44",77,254,FALSE
45,"45",77,254,FALSE
46,"46",77,254,FALSE
47,"47",77,254,FALSE
48,"48",77,254,FALSE
49,"49",77,254,FALSE
50,"50",77,254,FALSE
51,"51",77,254,FALSE
52,"52",77,254,FALSE
53,"53",77,254,FALSE
54,"54",77,254,FALSE
55,"55",77,254,FALSE
56,"56",77,254,FALSE
57,"57",77,254,FALSE
58,"58",77,254,FALSE
59,"59",77,254,FALSE
60,"60",77,254,FALSE
61,"61",77,254,FALSE
62,"62",77,254,FALSE
63,"63",77,254,FALSE
64,"64",77,254,FALSE
65,"65",77,254,FALSE
66,"66",77,254,FALSE
67,"67",77,254,FALSE
68,"68",77,254,FALSE
69,"69",77,254,FALSE
70,"70",77,254,FALSE
71,"71",77,254,FALSE
72,"72",77,254,FALSE
73,"73",77,254,FALSE
74,"74",77,254,FALSE
75,"75",77,254,FALSE
76,"76",77,254,FALSE
77,"77",77,254,FALSE
