"id","name","n","m","directed"
1,"1",105,441,TRUE
2,"2",105,441,TRUE
3,"3",105,441,TRUE
4,"4",105,441,TRUE
5,"5",105,441,TRUE
6,"6",105,441,TRUE
7,"7",105,441,TRUE
8,"8",105,441,TRUE
9,"9",105,441,TRUE
10,"10",105,441,TRUE
11,"11",105,441,TRUE
12,"12",105,441,TRUE
13,"13",105,441,TRUE
14,"14",105,441,TRUE
15,"15",105,441,TRUE
16,"16",105,441,TRUE
17,"17",105,441,TRUE
18,"18",105,441,TRUE
19,"19",105,441,TRUE
20,"20",105,441,TRUE
21,"21",105,441,TRUE
22,"22",105,441,TRUE
23,"23",105,441,TRUE
24,"24",105,441,TRUE
25,"25",105,441,TRUE
26,"26",105,441,TRUE
27,"27",105,441,TRUE
28,"28",105,441,TRUE
29,"29",105,441,TRUE
30,"30",105,441,TRUE
31,"31",105,441,TRUE
32,"32",105,441,TRUE
33,"33",105,441,TRUE
34,"34",105,441,TRUE
35,"35",105,441,TRUE
36,"36",105,441,TRUE
37,"37",105,441,TRUE
38,"38",105,441,TRUE
39,"39",105,441,TRUE
40,"40",105,441,TRUE
41,"41",105,441,TRUE
42,"42",105,441,TRUE
43,"43",105,441,TRUE
44,"44",105,441,TRUE
45,"45",105,441,TRUE
46,"46",105,441,TRUE
47,"47",105,441,TRUE
48,"48",105,441,TRUE
49,"49",105,441,TRUE
50,"50",105,441,TRUE
51,"51",105,441,TRUE
52,"52",105,441,TRUE
53,"53",105,441,TRUE
54,"54",105,441,TRUE
55,"55",105,441,TRUE
56,"56",105,441,TRUE
57,"57",105,441,TRUE
58,"58",105,441,TRUE
59,"59",105,441,TRUE
60,"60",105,441,TRUE
61,"61",105,441,TRUE
62,"62",105,441,TRUE
63,"63",105,441,TRUE
64,"64",105,441,TRUE
65,"65",105,441,TRUE
66,"66",105,441,TRUE
67,"67",105,441,TRUE
68,"68",105,441,TRUE
69,"69",105,441,TRUE
70,"70",105,441,TRUE
71,"71",105,441,TRUE
72,"72",105,441,TRUE
73,"73",105,441,TRUE
74,"74",105,441,TRUE
75,"75",105,441,TRUE
76,"76",105,441,TRUE
77,"77",105,441,TRUE
78,"78",105,441,TRUE
79,"79",105,441,TRUE
80,"80",105,441,TRUE
81,"81",105,441,TRUE
82,"82",105,441,TRUE
83,"83",105,441,TRUE
84,"84",105,441,TRUE
85,"85",105,441,TRUE
86,"86",105,441,TRUE
87,"87",105,441,TRUE
88,"88",105,441,TRUE
89,"89",105,441,TRUE
90,"90",105,441,TRUE
91,"91",105,441,TRUE
92,"92",105,441,TRUE
93,"93",105,441,TRUE
94,"94",105,441,TRUE
95,"95",105,441,TRUE
96,"96",105,441,TRUE
97,"97",105,441,TRUE
98,"98",105,441,TRUE
99,"99",105,441,TRUE
100,"100",105,441,TRUE
101,"101",105,441,TRUE
102,"102",105,441,TRUE
103,"103",105,441,TRUE
104,"104",105,441,TRUE
105,"105",105,441,TRUE
