"from","to"
"1","15"
"1","21"
"1","22"
"2","9"
"2","22"
"4","5"
"4","11"
"4","16"
"4","19"
"4","43"
"5","4"
"5","19"
"5","43"
"6","8"
"6","13"
"6","17"
"6","20"
"6","29"
"7","13"
"7","17"
"7","21"
"8","13"
"8","14"
"8","28"
"9","20"
"9","21"
"9","22"
"9","70"
"10","18"
"10","19"
"11","4"
"11","16"
"11","19"
"11","33"
"11","42"
"12","20"
"12","21"
"12","22"
"13","5"
"13","6"
"13","17"
"13","20"
"13","22"
"14","13"
"14","22"
"15","1"
"15","12"
"15","20"
"15","21"
"16","41"
"16","62"
"16","68"
"17","1"
"17","7"
"17","8"
"17","13"
"17","22"
"18","19"
"19","4"
"19","5"
"19","9"
"19","11"
"19","12"
"20","9"
"20","12"
"20","19"
"20","21"
"20","22"
"21","20"
"21","22"
"21","38"
"21","51"
"21","55"
"22","20"
"22","21"
"22","28"
"22","38"
"22","51"
"23","52"
"23","53"
"23","63"
"23","69"
"23","71"
"24","28"
"26","30"
"26","32"
"26","34"
"26","36"
"26","39"
"27","5"
"27","35"
"27","37"
"27","40"
"27","43"
"28","22"
"28","38"
"28","39"
"29","33"
"29","36"
"29","42"
"30","35"
"30","37"
"31","23"
"31","37"
"31","40"
"31","50"
"32","29"
"32","33"
"32","36"
"32","38"
"32","39"
"32","43"
"33","36"
"33","41"
"33","42"
"33","43"
"34","46"
"36","29"
"36","33"
"36","41"
"36","42"
"36","43"
"37","27"
"37","30"
"37","40"
"38","21"
"38","22"
"38","28"
"38","39"
"39","28"
"39","38"
"39","46"
"39","59"
"39","70"
"40","27"
"40","30"
"40","37"
"41","16"
"41","33"
"41","42"
"41","43"
"41","68"
"42","29"
"42","41"
"42","43"
"43","33"
"43","41"
"43","42"
"43","68"
"44","47"
"44","50"
"45","49"
"45","51"
"45","54"
"45","55"
"45","57"
"46","39"
"46","49"
"46","51"
"46","54"
"46","55"
"47","52"
"48","45"
"48","49"
"48","51"
"48","54"
"48","55"
"49","47"
"49","51"
"49","52"
"49","53"
"49","55"
"50","23"
"50","52"
"50","53"
"51","21"
"51","45"
"51","48"
"51","54"
"51","55"
"52","49"
"52","53"
"52","55"
"53","52"
"53","55"
"53","63"
"53","70"
"54","45"
"54","49"
"54","51"
"54","55"
"54","70"
"55","45"
"55","49"
"55","52"
"55","53"
"55","54"
"56","62"
"56","67"
"56","68"
"56","70"
"56","71"
"57","49"
"57","51"
"57","66"
"57","70"
"58","61"
"58","65"
"59","39"
"59","48"
"59","49"
"59","56"
"59","68"
"60","58"
"60","61"
"60","62"
"60","70"
"60","71"
"61","58"
"61","65"
"61","66"
"62","60"
"62","70"
"63","66"
"63","67"
"63","69"
"63","70"
"63","71"
"64","66"
"64","70"
"64","71"
"65","67"
"65","68"
"65","70"
"65","71"
"66","63"
"66","64"
"66","67"
"66","70"
"66","71"
"67","60"
"67","63"
"67","66"
"67","70"
"67","71"
"68","62"
"68","70"
"68","71"
"69","63"
"69","64"
"69","66"
"69","67"
"69","71"
"70","63"
"70","66"
"70","67"
"70","69"
"70","71"
"71","56"
"71","62"
"71","66"
"71","67"
"71","70"
