"id","name","n","m","directed"
1,"1",73,263,TRUE
2,"2",73,263,TRUE
3,"3",73,263,TRUE
4,"4",73,263,TRUE
5,"5",73,263,TRUE
6,"6",73,263,TRUE
7,"7",73,263,TRUE
8,"8",73,263,TRUE
9,"9",73,263,TRUE
10,"10",73,263,TRUE
11,"11",73,263,TRUE
12,"12",73,263,TRUE
13,"13",73,263,TRUE
14,"14",73,263,TRUE
15,"15",73,263,TRUE
16,"16",73,263,TRUE
17,"17",73,263,TRUE
18,"18",73,263,TRUE
19,"19",73,263,TRUE
20,"20",73,263,TRUE
21,"21",73,263,TRUE
22,"22",73,263,TRUE
23,"23",73,263,TRUE
24,"24",73,263,TRUE
25,"25",73,263,TRUE
26,"26",73,263,TRUE
27,"27",73,263,TRUE
28,"28",73,263,TRUE
29,"29",73,263,TRUE
30,"30",73,263,TRUE
31,"31",73,263,TRUE
32,"32",73,263,TRUE
33,"33",73,263,TRUE
34,"34",73,263,TRUE
35,"35",73,263,TRUE
36,"36",73,263,TRUE
37,"37",73,263,TRUE
38,"38",73,263,TRUE
39,"39",73,263,TRUE
40,"40",73,263,TRUE
41,"41",73,263,TRUE
42,"42",73,263,TRUE
43,"43",73,263,TRUE
44,"44",73,263,TRUE
45,"45",73,263,TRUE
46,"46",73,263,TRUE
47,"47",73,263,TRUE
48,"48",73,263,TRUE
49,"49",73,263,TRUE
50,"50",73,263,TRUE
51,"51",73,263,TRUE
52,"52",73,263,TRUE
53,"53",73,263,TRUE
54,"54",73,263,TRUE
55,"55",73,263,TRUE
56,"56",73,263,TRUE
57,"57",73,263,TRUE
58,"58",73,263,TRUE
59,"59",73,263,TRUE
60,"60",73,263,TRUE
61,"61",73,263,TRUE
62,"62",73,263,TRUE
63,"63",73,263,TRUE
64,"64",73,263,TRUE
65,"65",73,263,TRUE
66,"66",73,263,TRUE
67,"67",73,263,TRUE
68,"68",73,263,TRUE
69,"69",73,263,TRUE
70,"70",73,263,TRUE
71,"71",73,263,TRUE
72,"72",73,263,TRUE
73,"73",73,263,TRUE
