"from","to","rank_1","rank_2","time"
32,31,3,4,1
32,30,3,2,1
32,29,NA,3,2
32,28,NA,1,2
32,27,2,2,1
32,26,NA,2,2
32,24,NA,1,2
32,23,NA,1,2
32,22,NA,3,2
32,21,1,2,1
32,20,1,1,1
32,19,1,NA,1
32,17,NA,2,2
32,16,1,3,1
32,14,1,1,1
32,13,2,2,1
32,11,1,3,1
32,10,NA,2,2
32,9,4,4,1
32,8,3,4,1
32,6,NA,2,2
32,5,2,2,1
32,4,1,2,1
32,2,3,4,1
32,1,3,4,1
31,32,NA,4,2
31,30,2,2,1
31,29,2,3,1
31,28,2,2,1
31,27,2,2,1
31,26,2,2,1
31,25,NA,2,2
31,24,2,2,1
31,23,2,2,1
31,22,2,2,1
31,21,1,2,1
31,20,NA,2,2
31,19,2,2,1
31,18,3,3,1
31,17,2,2,1
31,16,1,2,1
31,15,2,3,1
31,14,2,2,1
31,13,2,3,1
31,12,NA,2,2
31,11,2,3,1
31,10,NA,2,2
31,9,2,2,1
31,8,2,2,1
31,7,1,2,1
31,6,2,3,1
31,5,2,2,1
31,4,2,2,1
31,3,2,2,1
31,2,4,4,1
31,1,4,4,1
30,32,2,3,1
30,31,NA,3,2
30,29,2,3,1
30,28,1,2,1
30,27,2,3,1
30,25,NA,2,2
30,24,NA,2,2
30,22,2,2,1
30,21,2,2,1
30,20,2,2,1
30,19,2,2,1
30,18,2,2,1
30,17,2,2,1
30,16,2,2,1
30,14,2,2,1
30,13,2,2,1
30,11,NA,2,2
30,10,2,2,1
30,8,4,3,1
30,6,NA,2,2
30,4,NA,2,2
30,3,1,1,1
30,2,4,3,1
30,1,3,3,1
29,32,NA,2,2
29,31,2,3,1
29,30,2,2,1
29,28,2,2,1
29,27,2,2,1
29,26,2,2,1
29,24,3,4,1
29,23,2,2,1
29,22,4,4,1
29,21,2,2,1
29,20,2,3,1
29,19,2,2,1
29,18,2,2,1
29,17,NA,2,2
29,16,2,2,1
29,15,2,3,1
29,14,3,4,1
29,13,NA,2,2
29,12,2,3,1
29,11,NA,2,2
29,10,2,3,1
29,8,2,3,1
29,6,NA,2,2
29,5,2,2,1
29,4,2,3,1
29,3,2,2,1
29,2,2,2,1
29,1,2,3,1
28,32,NA,2,2
28,31,2,2,1
28,29,2,2,1
28,27,1,1,1
28,26,2,2,1
28,25,1,1,1
28,24,2,2,1
28,22,3,3,1
28,21,2,2,1
28,20,2,2,1
28,19,3,3,1
28,16,2,2,1
28,15,2,2,1
28,14,2,2,1
28,13,1,2,1
28,11,1,1,1
28,10,1,1,1
28,8,NA,2,2
28,4,3,3,1
28,2,2,2,1
28,1,3,3,1
27,32,NA,2,2
27,31,NA,2,2
27,30,2,2,1
27,29,NA,2,2
27,24,NA,2,2
27,23,NA,1,2
27,22,NA,2,2
27,21,1,2,1
27,20,1,1,1
27,19,1,2,1
27,18,NA,2,2
27,17,1,2,1
27,16,1,2,1
27,15,1,2,1
27,14,1,1,1
27,13,4,4,1
27,11,1,2,1
27,10,1,2,1
27,9,2,3,1
27,8,2,3,1
27,6,NA,2,2
27,5,1,2,1
27,4,2,2,1
27,3,1,2,1
27,2,2,2,1
27,1,2,3,1
26,31,3,3,1
26,29,2,2,1
26,28,2,2,1
26,25,1,1,1
26,24,2,2,1
26,23,1,1,1
26,22,2,2,1
26,21,1,1,1
26,20,1,1,1
26,19,2,2,1
26,18,3,3,1
26,16,1,1,1
26,15,1,1,1
26,14,2,2,1
26,13,2,2,1
26,12,1,1,1
26,11,1,1,1
26,10,1,1,1
26,8,1,1,1
26,7,1,1,1
26,5,1,1,1
26,4,1,1,1
26,3,2,2,1
26,2,1,1,1
26,1,4,4,1
25,29,NA,2,2
25,28,1,1,1
25,24,4,3,1
25,23,3,3,1
25,22,3,3,1
25,21,3,3,1
25,20,4,3,1
25,19,2,2,1
25,16,3,3,1
25,15,2,2,1
25,14,3,3,1
25,12,2,2,1
25,11,2,2,1
25,10,3,3,1
25,8,2,3,1
25,5,1,1,1
25,4,2,3,1
25,3,2,2,1
25,2,2,2,1
25,1,2,2,1
24,32,NA,2,2
24,31,NA,2,2
24,30,NA,2,2
24,29,4,3,1
24,28,2,3,1
24,27,2,2,1
24,25,3,3,1
24,23,2,2,1
24,22,4,4,1
24,21,3,3,1
24,20,3,3,1
24,19,3,2,1
24,18,NA,2,2
24,17,2,2,1
24,16,3,3,1
