"id","name","Citations","Discipline","n","m","directed"
1,"1",19,1,32,768,TRUE
2,"2",3,2,32,768,TRUE
3,"3",170,4,32,768,TRUE
4,"4",23,1,32,768,TRUE
5,"5",16,4,32,768,TRUE
6,"6",6,4,32,768,TRUE
7,"7",1,4,32,768,TRUE
8,"8",9,2,32,768,TRUE
9,"9",6,2,32,768,TRUE
10,"10",40,1,32,768,TRUE
11,"11",15,1,32,768,TRUE
12,"12",54,1,32,768,TRUE
13,"13",4,2,32,768,TRUE
14,"14",46,1,32,768,TRUE
15,"15",17,1,32,768,TRUE
16,"16",32,3,32,768,TRUE
17,"17",23,4,32,768,TRUE
18,"18",1,1,32,768,TRUE
19,"19",34,1,32,768,TRUE
20,"20",64,1,32,768,TRUE
21,"21",11,3,32,768,TRUE
22,"22",11,1,32,768,TRUE
23,"23",31,1,32,768,TRUE
24,"24",18,1,32,768,TRUE
25,"25",4,1,32,768,TRUE
26,"26",0,1,32,768,TRUE
27,"27",4,3,32,768,TRUE
28,"28",56,1,32,768,TRUE
29,"29",12,1,32,768,TRUE
30,"30",2,2,32,768,TRUE
31,"31",0,4,32,768,TRUE
32,"32",1,2,32,768,TRUE
