"id","name","status","gender","office","seniority","age","practice","law_school","n","m","directed"
1,"1",1,1,1,31,64,1,1,71,575,TRUE
2,"2",1,1,1,32,62,2,1,71,575,TRUE
3,"3",1,1,2,13,67,1,1,71,575,TRUE
4,"4",1,1,1,31,59,2,3,71,575,TRUE
5,"5",1,1,2,31,59,1,2,71,575,TRUE
6,"6",1,1,2,29,55,1,1,71,575,TRUE
7,"7",1,1,2,29,63,2,3,71,575,TRUE
8,"8",1,1,1,28,53,1,3,71,575,TRUE
9,"9",1,1,1,25,53,2,1,71,575,TRUE
10,"10",1,1,1,25,53,2,3,71,575,TRUE
11,"11",1,1,1,23,50,1,1,71,575,TRUE
12,"12",1,1,1,24,52,2,2,71,575,TRUE
13,"13",1,1,1,22,57,1,2,71,575,TRUE
14,"14",1,1,2,1,56,2,1,71,575,TRUE
15,"15",1,1,3,21,48,2,3,71,575,TRUE
16,"16",1,1,1,20,46,2,1,71,575,TRUE
17,"17",1,1,1,23,50,2,1,71,575,TRUE
18,"18",1,1,2,18,45,1,2,71,575,TRUE
19,"19",1,1,1,19,46,2,1,71,575,TRUE
20,"20",1,1,1,19,49,1,1,71,575,TRUE
21,"21",1,1,1,17,43,1,2,71,575,TRUE
22,"22",1,1,1,9,49,1,3,71,575,TRUE
23,"23",1,1,1,16,45,1,2,71,575,TRUE
24,"24",1,1,1,15,44,1,2,71,575,TRUE
25,"25",1,1,2,15,43,2,2,71,575,TRUE
26,"26",1,1,1,15,41,1,3,71,575,TRUE
27,"27",1,2,1,13,47,1,1,71,575,TRUE
28,"28",1,1,2,11,38,2,2,71,575,TRUE
29,"29",1,2,1,10,38,2,3,71,575,TRUE
30,"30",1,1,2,7,39,1,3,71,575,TRUE
31,"31",1,1,2,8,34,1,2,71,575,TRUE
32,"32",1,1,2,8,33,1,3,71,575,TRUE
33,"33",1,1,2,8,37,1,3,71,575,TRUE
34,"34",1,2,1,8,36,2,2,71,575,TRUE
35,"35",1,1,2,8,33,2,3,71,575,TRUE
36,"36",1,1,1,5,43,1,3,71,575,TRUE
37,"37",2,1,3,5,44,2,3,71,575,TRUE
38,"38",2,2,1,7,53,1,2,71,575,TRUE
39,"39",2,2,1,6,37,1,1,71,575,TRUE
40,"40",2,1,1,6,34,1,1,71,575,TRUE
41,"41",2,1,1,5,31,1,2,71,575,TRUE
42,"42",2,1,1,4,31,2,2,71,575,TRUE
43,"43",2,2,1,5,47,1,2,71,575,TRUE
44,"44",2,2,3,5,53,2,1,71,575,TRUE
45,"45",2,1,1,3,38,2,3,71,575,TRUE
46,"46",2,2,2,3,42,2,2,71,575,TRUE
47,"47",2,1,3,3,38,1,3,71,575,TRUE
48,"48",2,2,1,1,35,2,3,71,575,TRUE
49,"49",2,1,1,4,36,1,2,71,575,TRUE
50,"50",2,1,2,3,31,2,2,71,575,TRUE
51,"51",2,2,2,4,29,1,3,71,575,TRUE
52,"52",2,1,1,4,29,1,3,71,575,TRUE
53,"53",2,1,1,10,38,2,3,71,575,TRUE
54,"54",2,1,1,3,29,1,3,71,575,TRUE
55,"55",2,1,1,3,34,1,3,71,575,TRUE
56,"56",2,1,1,3,38,1,2,71,575,TRUE
57,"57",2,2,1,3,33,1,2,71,575,TRUE
58,"58",2,1,2,3,33,1,3,71,575,TRUE
59,"59",2,2,2,2,30,1,2,71,575,TRUE
60,"60",2,2,1,2,31,2,2,71,575,TRUE
61,"61",2,2,1,2,34,2,3,71,575,TRUE
62,"62",2,1,1,2,32,2,2,71,575,TRUE
63,"63",2,1,2,2,29,2,2,71,575,TRUE
64,"64",2,2,1,2,45,2,2,71,575,TRUE
65,"65",2,1,1,2,28,1,3,71,575,TRUE
66,"66",2,1,1,1,43,1,3,71,575,TRUE
67,"67",2,2,1,1,35,1,2,71,575,TRUE
68,"68",2,1,1,1,26,1,3,71,575,TRUE
69,"69",2,2,1,1,38,1,3,71,575,TRUE
70,"70",2,1,1,1,31,2,2,71,575,TRUE
71,"71",2,2,1,1,26,1,2,71,575,TRUE
