"from","to","weight"
"1","2",76
"1","3",75
"1","4",87
"1","5",70
"1","6",103
"1","7",123
"1","8",80
"1","9",86
"1","10",81
"1","11",82
"1","12",79
"1","13",85
"1","14",76
"1","15",87
"1","16",87
"1","17",82
"1","18",15
"1","19",27
"1","20",3
"1","21",1
"1","22",5
"1","23",5
"1","24",1
"1","25",1
"1","26",1
"1","27",2
"1","28",1
"1","29",1
"1","30",2
"1","31",1
"1","32",1
"1","33",2
"1","34",1
"1","35",7
"1","36",15
"1","37",39
"1","38",153
"1","39",1
"1","40",31
"1","41",1
"1","42",1
"1","43",1
"1","44",22
"1","45",6
"1","46",8
"1","47",3
"1","48",4
"1","49",3
"1","50",22
"1","51",1
"1","52",1
"1","53",4
"1","54",6
"1","55",1
"1","56",8
"1","57",5
"1","58",12
"1","59",6
"1","60",1
"1","61",1
"1","62",1
"1","63",1
"1","64",1
"1","65",59
"1","66",2
"1","67",1
"1","68",22
"1","69",18
"1","70",15
"1","71",3
"1","72",6
"1","73",43
"1","74",10
"1","75",10
"1","76",3
"1","77",1
"1","78",1
"1","79",1
"1","80",1
"1","81",1
"1","82",1
"1","83",4
"1","84",2
"1","85",7
"1","86",2
"1","87",2
"1","88",4
"1","89",5
"1","90",12
"1","91",1
"1","93",2
"1","94",2
"1","95",4
"1","96",1
"1","98",1
"1","99",1
"1","100",1
"1","101",2
"1","102",1
"1","103",2
"1","104",3
"1","105",1
"1","106",1
"1","107",1
"1","108",1
"1","109",1
"1","110",1
"1","111",1
"1","112",4
"1","113",1
"1","115",2
"1","116",1
"1","117",1
"1","118",1
"1","119",1
"1","120",1
"1","121",1
"1","122",1
"1","123",3
"1","124",1
"1","125",1
"1","126",1
"1","128",1
"1","129",1
"1","130",1
"1","133",1
"1","136",1
"1","149",1
"1","151",1
"2","1",22
"2","6",14
"2","7",1
"2","9",28
"2","10",4
"2","13",42
"2","14",31
"2","17",1
"2","18",1
"2","20",3
"2","22",37
"2","23",2
"2","25",1
"2","29",7
"2","32",1
"2","33",27
"2","34",1
"2","35",1
"2","37",1
"2","40",127
"2","42",11
"2","43",4
"2","44",2
"2","45",1
"2","46",2
"2","47",8
"2","48",7
"2","55",1
"2","56",26
"2","57",1
"2","58",66
"2","59",85
"2","63",2
"2","65",29
"2","67",4
"2","68",13
"2","69",27
"2","70",3
"2","71",1
"2","72",95
"2","74",108
"2","75",1
"2","76",6
"2","80",3
"2","83",20
"2","84",19
"2","85",8
"2","86",19
"2","87",2
"2","88",20
"2","89",9
"2","93",2
"2","94",77
"2","95",23
"2","96",2
"2","98",9
"2","100",1
"2","104",2
"2","106",6
"2","112",1
"2","115",2
"2","117",24
"2","118",1
"2","119",1
"2","123",3
"2","151",1
"3","1",23
"3","4",328
"3","7",1
"3","8",416
"3","9",21
"3","13",508
"3","15",6
"3","16",2
"3","17",193
"3","18",134
"3","20",171
"3","24",17
"3","25",1
"3","26",11
"3","27",59
"3","29",1
"3","30",19
"3","32",13
"3","35",275
"3","37",1
"3","38",1
"3","39",11
"3","40",249
"3","41",21
"3","42",32
"3","44",4
"3","45",4
"3","47",10
"3","48",13
"3","50",315
"3","51",153
"3","52",116
"3","53",170
"3","55",2
"3","56",3
"3","60",2
"3","62",30
"3","63",13
"3","64",7
"3","66",323
"3","67",199
"3","68",200
"3","69",197
"3","72",10
"3","76",1
"3","77",35
"3","80",5
"3","81",11
"3","83",4
"3","84",19
"3","85",198
"3","86",5
"3","90",9
"3","99",2
"3","100",1
"3","102",1
"3","105",2
"3","107",1
"3","112",2
"3","113",9
"3","115",2
"3","117",1
"3","128",13
"3","136",1
"4","1",38
"4","3",358
"4","5",1
"4","6",13
"4","7",10
"4","8",22
"4","9",14
"4","10",3
"4","13",157
"4","14",1
"4","15",1
"4","16",23
"4","17",24
"4","18",25
"4","19",1
"4","20",14
"4","23",1
"4","27",12
"4","29",14
"4","30",4
"4","33",6
"4","34",3
"4","35",57
"4","37",1
"4","40",60
"4","41",12
"4","45",1
"4","47",5
"4","48",38
"4","49",6
"4","50",1
"4","52",1
"4","53",120
"4","54",1
"4","55",4
"4","56",1
"4","57",7
"4","58",32
"4","65",54
"4","66",1
"4","68",17
"4","69",29
"4","70",55
"4","71",2
"4","73",1
"4","74",121
"4","75",14
"4","76",42
"4","81",8
"4","82",6
"4","84",42
"4","86",45
"4","88",2
"4","89",2
"4","90",2
"4","93",17
"4","95",1
"4","101",17
"4","102",1
"4","106",137
"4","117",2
"4","121",8
"4","124",5
"5","1",20
"5","4",1
"5","7",1
"5","9",3
"5","10",1
"5","11",176
"5","12",2
"5","13",1
"5","14",2
"5","15",64
"5","18",1
"5","23",1
"5","24",3
"5","25",1
"5","27",25
"5","28",1
"5","29",3
"5","30",10
"5","31",1
"5","32",5
"5","33",31
"5","35",1
"5","36",1
"5","37",1
"5","39",8
"5","42",3
"5","45",6
"5","47",1
"5","52",1
"5","54",91
"5","56",47
"5","58",2
"5","61",1
"5","65",1
"5","66",9
"5","69",1
"5","71",40
"5","72",30
"5","73",63
"5","74",36
"5","77",10
"5","81",3
"5","83",28
"5","88",16
"5","90",2
"5","106",1
"5","109",1
"5","112",1
"5","115",1
"5","117",14
"6","1",72
"6","2",14
"6","3",4
"6","4",9
"6","7",27
"6","8",30
"6","10",4
"6","13",4
"6","16",3
"6","18",3
"6","20",13
"6","22",20
"6","31",6
"6","35",2
"6","36",1
"6","37",2
"6","40",26
"6","41",4
"6","42",4
"6","43",26
"6","45",1
"6","46",2
"6","49",3
"6","50",13
"6","53",4
"6","57",6
"6","70",3
"6","78",2
"6","82",3
"6","87",5
"6","89",1
"6","93",8
"6","94",3
"6","95",5
"6","98",13
"6","99",1
"6","101",23
"6","106",327
"6","107",1
"6","109",1
"6","124",3
"6","128",1
"6","130",2
"7","1",70
"7","2",1
"7","3",1
"7","4",5
"7","5",1
"7","6",2
"7","8",20
"7","9",3
"7","10",37
"7","11",1
"7","13",14
"7","14",33
"7","15",24
"7","16",1
"7","18",17
"7","19",11
"7","20",11
"7","21",21
"7","22",49
"7","23",1
"7","24",3
"7","27",2
"7","29",21
"7","30",18
"7","31",2
"7","32",9
"7","33",4
"7","34",1
"7","35",6
"7","37",1
"7","38",3
"7","42",10
"7","43",15
"7","44",21
"7","45",6
"7","47",1
"7","49",1
"7","50",16
"7","51",4
"7","55",1
"7","57",1
"7","58",10
"7","59",2
"7","63",2
"7","65",4
"7","67",1
"7","68",3
"7","70",1
"7","72",1
"7","74",1
"7","75",3
"7","77",1
"7","79",1
"7","80",3
"7","81",2
"7","83",2
"7","84",1
"7","85",3
"7","90",1
"7","93",1
"7","94",2
"7","95",4
"7","98",7
"7","100",4
"7","103",9
"7","104",2
"7","105",2
"7","107",1
"7","112",2
"7","113",1
"7","115",2
"7","117",4
"7","123",1
"8","1",32
"8","3",416
"8","4",16
"8","6",1
"8","7",20
"8","9",3
"8","13",65
"8","15",3
"8","16",3
"8","17",6
"8","18",2
"8","20",20
"8","23",1
"8","24",16
"8","25",1
"8","27",26
"8","28",2
"8","29",1
"8","30",14
"8","32",29
"8","33",1
"8","35",2
"8","37",1
"8","38",1
"8","39",1
"8","40",76
"8","41",15
"8","42",1
"8","44",4
"8","45",3
"8","46",1
"8","47",10
"8","48",6
"8","50",50
"8","51",13
"8","52",4
"8","53",7
"8","62",11
"8","66",3
"8","69",5
"8","76",1
"8","77",4
"8","80",3
"8","81",6
"8","83",1
"8","84",2
"8","90",2
"8","104",1
"8","112",1
"8","113",1
"8","115",1
"9","1",36
"9","2",24
"9","3",21
"9","4",7
"9","5",3
"9","7",3
"9","8",3
"9","13",3
"9","14",62
"9","15",19
"9","17",23
"9","18",2
"9","19",9
"9","25",8
"9","26",1
"9","27",1
"9","32",12
"9","35",1
"9","36",1
"9","37",1
"9","38",4
"9","39",2
"9","42",11
"9","44",22
"9","45",5
"9","46",1
"9","47",1
"9","48",2
"9","50",8
"9","53",1
"9","56",10
"9","59",18
"9","61",1
"9","62",1
"9","64",9
"9","65",61
"9","66",207
"9","67",186
"9","68",11
"9","69",11
"9","71",3
"9","72",5
"9","73",18
"9","74",25
"9","76",2
"9","77",11
"9","80",27
"9","83",4
"9","84",2
"9","85",9
"9","86",2
"9","88",1
"9","90",15
"9","92",6
"9","94",115
"9","95",1
"9","100",1
"9","104",4
"9","112",7
"9","115",2
"9","117",5
"10","1",26
"10","2",4
"10","4",2
"10","5",1
"10","6",4
"10","7",34
"10","14",2
"10","18",1
"10","19",1
"10","20",1
"10","21",48
"10","22",5
"10","23",4
"10","27",1
"10","29",7
"10","30",1
"10","33",1
"10","35",1
"10","37",1
"10","42",1
"10","43",13
"10","44",4
"10","45",9
"10","46",1
"10","50",2
"10","54",9
"10","55",1
"10","56",1
"10","57",1
"10","58",1
"10","59",1
"10","63",2
"10","65",2
"10","68",1
"10","73",2
"10","75",16
"10","79",3
"10","84",2
"10","87",5
"10","88",1
"10","89",5
"10","93",5
"10","94",9
"10","95",10
"10","98",3
"10","100",1
"10","104",4
"10","105",1
"10","106",1
"10","107",1
"10","109",1
"10","112",10
"10","115",1
"10","118",1
"10","123",5
"10","133",1
"11","1",26
"11","5",177
"11","7",1
"11","12",1
"11","14",5
"11","15",8
"11","25",11
"11","31",10
"11","32",6
"11","33",10
"11","35",1
"11","37",1
"11","38",1
"11","45",5
"11","54",9
"11","58",3
"11","63",1
"11","65",5
"11","71",2
"11","74",1
"11","83",2
"11","106",1
"11","117",2
"12","1",23
"12","5",2
"12","11",1
"12","14",4
"12","15",169
"12","25",9
"12","31",9
"12","33",1
"12","35",1
"12","37",1
"12","38",1
"12","40",1
"12","45",1
"12","54",12
"12","56",1
"12","58",1
"12","61",8
"12","65",4
"12","71",36
"12","72",44
"12","73",32
"12","74",7
"12","88",2
"12","96",196
"12","117",6
"13","1",40
"13","2",40
"13","3",633
"13","4",194
"13","6",3
"13","7",26
"13","8",95
"13","9",5
"13","14",1458
"13","15",10
"13","16",12
"13","17",59
"13","18",12
"13","20",40
"13","23",1
"13","27",36
"13","30",18
"13","31",1
"13","32",2
"13","34",1
"13","35",106
"13","37",1
