"id","name","n","m","directed"
1,"1",167,5784,TRUE
2,"2",167,5784,TRUE
3,"3",167,5784,TRUE
4,"4",167,5784,TRUE
5,"5",167,5784,TRUE
6,"6",167,5784,TRUE
7,"7",167,5784,TRUE
8,"8",167,5784,TRUE
9,"9",167,5784,TRUE
10,"10",167,5784,TRUE
11,"11",167,5784,TRUE
12,"12",167,5784,TRUE
13,"13",167,5784,TRUE
14,"14",167,5784,TRUE
15,"15",167,5784,TRUE
16,"16",167,5784,TRUE
17,"17",167,5784,TRUE
18,"18",167,5784,TRUE
19,"19",167,5784,TRUE
20,"20",167,5784,TRUE
21,"21",167,5784,TRUE
22,"22",167,5784,TRUE
23,"23",167,5784,TRUE
24,"24",167,5784,TRUE
25,"25",167,5784,TRUE
26,"26",167,5784,TRUE
27,"27",167,5784,TRUE
28,"28",167,5784,TRUE
29,"29",167,5784,TRUE
30,"30",167,5784,TRUE
31,"31",167,5784,TRUE
32,"32",167,5784,TRUE
33,"33",167,5784,TRUE
34,"34",167,5784,TRUE
35,"35",167,5784,TRUE
36,"36",167,5784,TRUE
37,"37",167,5784,TRUE
38,"38",167,5784,TRUE
39,"39",167,5784,TRUE
40,"40",167,5784,TRUE
41,"41",167,5784,TRUE
42,"42",167,5784,TRUE
43,"43",167,5784,TRUE
44,"44",167,5784,TRUE
45,"45",167,5784,TRUE
46,"46",167,5784,TRUE
47,"47",167,5784,TRUE
48,"48",167,5784,TRUE
49,"49",167,5784,TRUE
50,"50",167,5784,TRUE
51,"51",167,5784,TRUE
52,"52",167,5784,TRUE
53,"53",167,5784,TRUE
54,"54",167,5784,TRUE
55,"55",167,5784,TRUE
56,"56",167,5784,TRUE
57,"57",167,5784,TRUE
58,"58",167,5784,TRUE
59,"59",167,5784,TRUE
60,"60",167,5784,TRUE
61,"61",167,5784,TRUE
62,"62",167,5784,TRUE
63,"63",167,5784,TRUE
64,"64",167,5784,TRUE
65,"65",167,5784,TRUE
66,"66",167,5784,TRUE
67,"67",167,5784,TRUE
68,"68",167,5784,TRUE
69,"69",167,5784,TRUE
70,"70",167,5784,TRUE
71,"71",167,5784,TRUE
72,"72",167,5784,TRUE
73,"73",167,5784,TRUE
74,"74",167,5784,TRUE
75,"75",167,5784,TRUE
76,"76",167,5784,TRUE
77,"77",167,5784,TRUE
78,"78",167,5784,TRUE
79,"79",167,5784,TRUE
80,"80",167,5784,TRUE
81,"81",167,5784,TRUE
82,"82",167,5784,TRUE
83,"83",167,5784,TRUE
84,"84",167,5784,TRUE
85,"85",167,5784,TRUE
86,"86",167,5784,TRUE
87,"87",167,5784,TRUE
88,"88",167,5784,TRUE
89,"89",167,5784,TRUE
90,"90",167,5784,TRUE
91,"91",167,5784,TRUE
92,"92",167,5784,TRUE
93,"93",167,5784,TRUE
94,"94",167,5784,TRUE
95,"95",167,5784,TRUE
96,"96",167,5784,TRUE
97,"97",167,5784,TRUE
98,"98",167,5784,TRUE
99,"99",167,5784,TRUE
100,"100",167,5784,TRUE
101,"101",167,5784,TRUE
102,"102",167,5784,TRUE
103,"103",167,5784,TRUE
104,"104",167,5784,TRUE
105,"105",167,5784,TRUE
106,"106",167,5784,TRUE
107,"107",167,5784,TRUE
108,"108",167,5784,TRUE
109,"109",167,5784,TRUE
110,"110",167,5784,TRUE
111,"111",167,5784,TRUE
112,"112",167,5784,TRUE
113,"113",167,5784,TRUE
114,"114",167,5784,TRUE
115,"115",167,5784,TRUE
116,"116",167,5784,TRUE
117,"117",167,5784,TRUE
118,"118",167,5784,TRUE
119,"119",167,5784,TRUE
120,"120",167,5784,TRUE
121,"121",167,5784,TRUE
122,"122",167,5784,TRUE
123,"123",167,5784,TRUE
124,"124",167,5784,TRUE
125,"125",167,5784,TRUE
126,"126",167,5784,TRUE
127,"127",167,5784,TRUE
128,"128",167,5784,TRUE
129,"129",167,5784,TRUE
130,"130",167,5784,TRUE
131,"131",167,5784,TRUE
132,"132",167,5784,TRUE
133,"133",167,5784,TRUE
134,"134",167,5784,TRUE
135,"135",167,5784,TRUE
136,"136",167,5784,TRUE
137,"137",167,5784,TRUE
138,"138",167,5784,TRUE
139,"139",167,5784,TRUE
140,"140",167,5784,TRUE
141,"141",167,5784,TRUE
142,"142",167,5784,TRUE
143,"143",167,5784,TRUE
144,"144",167,5784,TRUE
145,"145",167,5784,TRUE
146,"146",167,5784,TRUE
147,"147",167,5784,TRUE
148,"148",167,5784,TRUE
149,"149",167,5784,TRUE
150,"150",167,5784,TRUE
151,"151",167,5784,TRUE
152,"152",167,5784,TRUE
153,"153",167,5784,TRUE
154,"154",167,5784,TRUE
155,"155",167,5784,TRUE
156,"156",167,5784,TRUE
157,"157",167,5784,TRUE
158,"158",167,5784,TRUE
159,"159",167,5784,TRUE
160,"160",167,5784,TRUE
161,"161",167,5784,TRUE
162,"162",167,5784,TRUE
163,"163",167,5784,TRUE
164,"164",167,5784,TRUE
165,"165",167,5784,TRUE
166,"166",167,5784,TRUE
167,"167",167,5784,TRUE
