"from","to","weight"
"R2-D2","PADME",7
"R2-D2","ANAKIN",7
"R2-D2","C-3PO",3
"EMPEROR","SENATOR ASK AAK",2
"EMPEROR","ORN FREE TAA",2
"SENATOR ASK AAK","ORN FREE TAA",1
"EMPEROR","MACE WINDU",2
"EMPEROR","YODA",2
"EMPEROR","KI-ADI-MUNDI",1
"EMPEROR","BAIL ORGANA",2
"MACE WINDU","YODA",8
"MACE WINDU","KI-ADI-MUNDI",1
"MACE WINDU","BAIL ORGANA",2
"YODA","KI-ADI-MUNDI",1
"YODA","BAIL ORGANA",2
"KI-ADI-MUNDI","BAIL ORGANA",1
"JAR JAR","OBI-WAN",3
"JAR JAR","ANAKIN",3
"OBI-WAN","ANAKIN",13
"CAPTAIN TYPHO","JAR JAR",1
"CAPTAIN TYPHO","OBI-WAN",2
"CAPTAIN TYPHO","ANAKIN",2
"JAR JAR","PADME",1
"ANAKIN","PADME",16
"OBI-WAN","PK-4",1
"ANAKIN","SIO BIBBLE",1
"PADME","SOLA",1
"ANAKIN","SOLA",1
"SOLA","JOBAL",2
"SOLA","RUWEE",1
"PADME","JOBAL",1
"PADME","RUWEE",1
"ANAKIN","JOBAL",1
"ANAKIN","RUWEE",3
"JOBAL","RUWEE",1
"YODA","OBI-WAN",5
"MACE WINDU","OBI-WAN",4
"OBI-WAN","TAUN WE",5
"TAUN WE","LAMA SU",2
"OBI-WAN","LAMA SU",6
"TAUN WE","BOBA FETT",2
"BOBA FETT","JANGO FETT",3
"OBI-WAN","BOBA FETT",1
"TAUN WE","JANGO FETT",1
"OBI-WAN","JANGO FETT",1
"ANAKIN","WATTO",1
"ANAKIN","C-3PO",3
"PADME","C-3PO",5
"C-3PO","OWEN",2
"C-3PO","BERU",1
"C-3PO","CLIEGG",1
"ANAKIN","OWEN",3
"ANAKIN","BERU",1
"ANAKIN","CLIEGG",2
"OWEN","BERU",1
"PADME","OWEN",4
"OWEN","CLIEGG",2
"PADME","BERU",1
"BERU","CLIEGG",1
"PADME","CLIEGG",2
"ANAKIN","SHMI",1
"BAIL ORGANA","OBI-WAN",1
"EMPEROR","OBI-WAN",1
"SENATOR ASK AAK","OBI-WAN",1
"SENATOR ASK AAK","BAIL ORGANA",1
"BAIL ORGANA","JAR JAR",1
"EMPEROR","JAR JAR",2
"SENATOR ASK AAK","YODA",1
"YODA","JAR JAR",1
"SENATOR ASK AAK","MACE WINDU",1
"MACE WINDU","JAR JAR",1
"SENATOR ASK AAK","JAR JAR",1
"OBI-WAN","PADME",2
"MACE WINDU","ANAKIN",1
"MACE WINDU","PADME",2
"ORN FREE TAA","JAR JAR",1
"PADME","COUNT DOOKU",3
"JANGO FETT","COUNT DOOKU",1
"SUN RIT","POGGLE",2
"SUN RIT","NUTE GUNRAY",2
"POGGLE","NUTE GUNRAY",2
"OBI-WAN","SUN RIT",1
"OBI-WAN","POGGLE",1
"OBI-WAN","NUTE GUNRAY",1
"OBI-WAN","COUNT DOOKU",2
"ANAKIN","SUN RIT",1
"ANAKIN","POGGLE",1
"ANAKIN","NUTE GUNRAY",1
"ANAKIN","COUNT DOOKU",2
"PADME","SUN RIT",1
"COUNT DOOKU","SUN RIT",1
"PADME","POGGLE",1
"COUNT DOOKU","POGGLE",1
"PADME","NUTE GUNRAY",1
"COUNT DOOKU","NUTE GUNRAY",1
"MACE WINDU","COUNT DOOKU",2
"KI-ADI-MUNDI","PLO KOON",1
"YODA","COUNT DOOKU",2
"YODA","PADME",1
"YODA","ANAKIN",1
"EMPEROR","COUNT DOOKU",1
